,"Current
ONS code",Lower and Single Tier Authority Data,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,,2019-20,2020-21,Price rise 
North East,E12000001,,22.71,25.46,28.09,30.01,32.27,33.37,34.17,35.28,36.76,38.54,40.43,41.52,42.00,43.48,45.56,47.82,51.07,53.09,54.61,56.02,59.38,68.74,69.39,73.54,75.59,74.96,74.40,73.79,,72.87,75.30,
North East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North East,E07000157,Alnwick,,,,,,31.75,32.73,33.89,37.54,36.23,37.62,39.96,40.94,42.71,44.75,46.99,50.30,52.33,..,..,..,..,..,..,..,..,..,..,,..,..,
North East,E07000158,Berwick-upon-Tweed,,,,,,28.66,32.22,33.60,36.95,38.54,40.24,42.29,43.12,44.63,46.33,48.61,52.00,MYT,..,..,..,..,..,..,..,..,..,..,,..,..,
North East,E07000159,Blyth Valley,,,,,,29.28,29.77,30.87,31.76,33.09,34.44,36.02,37.41,38.97,40.80,42.79,44.88,47.90,..,..,..,..,..,..,..,..,..,..,,..,..,
North East,E07000160,Castle Morpeth,,,,,,33.33,34.01,35.38,38.88,40.43,41.46,43.61,43.74,45.45,47.04,49.21,MYT,LSVT,..,..,..,..,..,..,..,..,..,..,,..,..,
North East,E07000054,Chester-le-Street,,,,,,32.23,32.7,33.46,35.04,36.49,38.05,40.49,41.19,42.98,44.82,47.03,MYT,LSVT,..,..,..,..,..,..,..,..,..,..,,..,..,
North East,E06000047,County Durham,,,,,,..,..,..,..,..,..,..,..,..,..,..,..,..,54.76,55.47,59.32,62.77,65.59,LSVT,LSVT,LSVT,LSVT,LSVT,,..,79.01,#VALUE!
North East,E06000005,Darlington,,,,,,33.33,34.36,35.53,37.21,39.09,40.62,41.66,42.84,44.26,45.94,48.24,51.63,53.36,54.89,56.00,59.62,64.39,67.21,70.49,72.89,72.54,72.59,73.99,,72.56,78.67,8.415499031
North East,E07000055,Derwentside,,,,,,37.83,38.32,38.28,39.18,40.51,42.00,42.63,44.31,44.84,46.58,MYT,LSVT,LSVT,..,..,..,..,..,..,..,..,..,..,,..,..,#VALUE!
North East,E07000056,Durham,,,,,,35.36,36.59,38.37,39.22,39.17,39.92,41.40,42.66,44.33,46.22,48.40,46.89,53.59,..,..,..,..,..,..,..,..,..,..,,..,..,#VALUE!
North East,E07000057,Easington,,,,,,35.93,37.68,38.37,38.34,39.38,40.88,42.75,39.47,44.07,45.44,47.47,50.57,51.87,..,..,..,..,..,..,..,..,..,..,,..,..,#VALUE!
North East,E08000037,Gateshead,,,,,,32.16,32.69,33.88,35.47,36.84,40.22,41.78,43.24,45.07,47.12,49.48,52.96,54.94,56.66,58.07,61.60,87.63,72.72,75.78,77.41,76.74,75.95,75.17,,74.47,76.51,2.747593944
North East,E06000001,Hartlepool,,,,,,35.18,35.66,36.69,37.58,38.82,41.53,43.16,MYT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,81.23,76.28,87.69,,84.49,84.76,0.319564445
North East,E06000002,Middlesbrough,,,,,,40.86,41.35,44.65,43.18,44.33,46.09,47.28,49.58,MYT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
North East,E08000021,Newcastle upon Tyne,,,,,,35.38,35.89,36.50,36.74,38.18,39.56,42.07,41.06,44.31,46.02,48.73,52.21,53.18,52.73,57.43,61.79,67.02,71.77,74.46,77.52,76.77,76.15,75.65,,74.53,77.03,3.354749249
North East,E08000022,North Tyneside,,,,,,28.26,29.2,30.36,32.16,34.45,37.42,38.80,40.48,42.67,44.86,47.09,50.45,52.75,54.38,55.95,65.98,65.98,69.85,74.26,76.38,75.85,75.82,74.56,,73.84,75.85,2.724450844
