Lower and Single Tier Authority Data,ITL3 regions ,,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Alnwick,,Hartlepool and Stockton-on-Tees,38.82,40.78,41.95,42.88,44.45,45.53,47.18,49.16,52.76,55,56.44,61.76,..,..,..,..,..,..,..,..,..,..,..,..
Berwick-upon-Tweed,,South Teesside,40.89,42.63,44.16,45.04,47.29,47.84,49.16,50.3,55.93,58.34,60,58.56,..,..,..,..,..,..,..,..,..,..,..,..
Blyth Valley,,Darlington,41.8,44.11,44.64,45.33,45.92,47.82,48.61,50.25,53.11,54.82,56.27,58.46,..,..,..,..,..,..,..,..,..,..,..,..
Castle Morpeth,,Durham CC,40.54,42.15,43.81,44.35,45.61,46.66,48.28,50.03,53.88,56.28,52.65,59.95,..,..,..,..,..,..,..,..,..,..,..,..
Chester-le-Street,,Northumberland,40.95,41.01,43.08,44.37,45.62,45.9,47.68,50.36,51.35,53.74,54.12,55.09,..,..,..,..,..,..,..,..,..,..,..,..
County Durham,,Tyneside,..,..,..,..,..,..,..,..,..,..,..,..,61.09,61.57,66.87,69.84,73.53,75.61,74.42,73.25,72.69,72.09,71.46,73.5
Darlington,Darlington,Sunderland,43.77,45.19,46.09,46.97,48.31,49.92,51.27,53.74,56.52,58.76,61.17,64.32,67.65,67.75,70.89,75.21,78.49,80.72,82.32,80.87,80.27,79.55,78.83,80.04
Derwentside,,,43.5,45.23,46.42,47.47,48.73,49.27,50.5,52.39,54.98,49.78,53,56.6,..,..,..,..,..,..,..,..,..,..,..,..
Durham,Durham CC,,43.23,44.59,47.62,48.9,50.56,50.26,52.56,53.1,55.7,57.02,59.12,61.66,..,..,..,..,..,..,..,..,..,..,..,..
Easington,,Manchester,42.11,44.36,45.99,46.97,48.59,49.38,51.09,53.07,54.61,55.36,56.87,58.93,..,..,..,..,..,..,..,..,..,..,..,..
Gateshead,,,40.63,42.04,43.4,44.94,46.03,47.2,48.93,51.48,53.78,55.63,57.27,61.25,64.45,64.81,68.47,72.93,82.52,79.92,80.51,79.15,79.14,78.39,77.67,79.78
