,Upper Tier Local Authorities Code,Upper Tier Local Authorities,Observation
6,E06000001,Hartlepool,6338
15,E06000002,Middlesbrough,11286
24,E06000003,Redcar and Cleveland,8410
33,E06000004,Stockton-on-Tees,12388
42,E06000005,Darlington,9035
51,E06000006,Halton,7088
60,E06000007,Warrington,12193
69,E06000008,Blackburn with Darwen,10290
78,E06000009,Blackpool,18843
87,E06000010,Kingston upon Hull,25419
96,E06000011,East Riding of Yorkshire,22171
105,E06000012,North East Lincolnshire,14185
114,E06000013,North Lincolnshire,10929
123,E06000014,York,15209
132,E06000015,Derby,20395
141,E06000016,Leicester,34549
150,E06000017,Rutland,2082
159,E06000018,Nottingham,33039
168,E06000019,Herefordshire,12943
177,E06000020,Telford and Wrekin,14694
186,E06000021,Stoke-on-Trent,20065
195,E06000022,Bath and North East Somerset,13758
204,E06000023,Bristol,46271
213,E06000024,North Somerset,15541
222,E06000025,South Gloucestershire,16441
231,E06000026,Plymouth,22754
240,E06000027,Torbay,15195
249,E06000030,Swindon,16798
258,E06000031,Peterborough,18675
267,E06000032,Luton,21280
276,E06000033,Southend-on-Sea,19085
285,E06000034,Thurrock,11015
294,E06000035,Medway,20219
303,E06000036,Bracknell Forest,6957
312,E06000037,West Berkshire,9668
321,E06000038,Reading,20373
330,E06000039,Slough,15101
339,E06000040,Windsor and Maidenhead,10635
348,E06000041,Wokingham,8665
357,E06000042,Milton Keynes,21780
366,E06000043,Brighton and Hove,37167
375,E06000044,Portsmouth,22196
384,E06000045,Southampton,28063
393,E06000046,Isle of Wight,11731
402,E06000047,County Durham,35156
411,E06000049,Cheshire East,23868
420,E06000050,Cheshire West and Chester,21291
429,E06000051,Shropshire,20425
438,E06000052,Cornwall,41545
447,E06000053,Isles of Scilly,224
456,E06000054,Wiltshire,27674
465,E06000055,Bedford,12905
474,E06000056,Central Bedfordshire,14329
483,E06000057,Northumberland,20149
492,E06000058,"Bournemouth, Christchurch and Poole",40460
501,E06000059,Dorset,22778
510,E06000060,Buckinghamshire,29769
519,E06000061,North Northamptonshire,24645
528,E06000062,West Northamptonshire,29463
537,E08000001,Bolton,18776
546,E08000002,Bury,12628
555,E08000003,Manchester,65041
564,E08000004,Oldham,14253
573,E08000005,Rochdale,14535
582,E08000006,Salford,28651
591,E08000007,Stockport,16238
600,E08000008,Tameside,15489
609,E08000009,Trafford,13254
618,E08000010,Wigan,20040
627,E08000011,Knowsley,8366
636,E08000012,Liverpool,49950
645,E08000013,St. Helens,10785
654,E08000014,Sefton,20029
663,E08000015,Wirral,24397
672,E08000016,Barnsley,16296
681,E08000017,Doncaster,22953
690,E08000018,Rotherham,14651
699,E08000019,Sheffield,38976
708,E08000021,Newcastle upon Tyne,25300
717,E08000022,North Tyneside,12755
726,E08000023,South Tyneside,7742
735,E08000024,Sunderland,15827
744,E08000025,Birmingham,86669
753,E08000026,Coventry,30134
762,E08000027,Dudley,16644
771,E08000028,Sandwell,21710
780,E08000029,Solihull,10249
789,E08000030,Walsall,16323
798,E08000031,Wolverhampton,17922
807,E08000032,Bradford,42709
816,E08000033,Calderdale,16210
825,E08000034,Kirklees,29858
834,E08000035,Leeds,68197
843,E08000036,Wakefield,19969
852,E08000037,Gateshead,12920
861,E09000001,City of London,2064
870,E09000002,Barking and Dagenham,16443
879,E09000003,Barnet,45180
888,E09000004,Bexley,13078
897,E09000005,Brent,39732
906,E09000006,Bromley,21418
915,E09000007,Camden,30382
924,E09000008,Croydon,36484
933,E09000009,Ealing,42063
942,E09000010,Enfield,32773
951,E09000011,Greenwich,26863
960,E09000012,Hackney,31943
969,E09000013,Hammersmith and Fulham,27284
978,E09000014,Haringey,35052
987,E09000015,Harrow,24354
996,E09000016,Havering,14452
1005,E09000017,Hillingdon,25692
1014,E09000018,Hounslow,29537
1023,E09000019,Islington,28084
1032,E09000020,Kensington and Chelsea,23560
1041,E09000021,Kingston upon Thames,16535
1050,E09000022,Lambeth,39228
1059,E09000023,Lewisham,30797
1068,E09000024,Merton,21998
1077,E09000025,Newham,41391
1086,E09000026,Redbridge,29079
1095,E09000027,Richmond upon Thames,18393
1104,E09000028,Southwark,34493
1113,E09000029,Sutton,15372
1122,E09000030,Tower Hamlets,43126
1131,E09000031,Waltham Forest,26361
1140,E09000032,Wandsworth,46295
1149,E09000033,Westminster,36871
1158,E10000003,Cambridgeshire,46798
1167,E10000006,Cumbria,29289
1176,E10000007,Derbyshire,45988
1185,E10000008,Devon,57654
1194,E10000011,East Sussex,41803
1203,E10000012,Essex,87593
1212,E10000013,Gloucestershire,42649
1221,E10000014,Hampshire,73458
1230,E10000015,Hertfordshire,72661
1239,E10000016,Kent,108543
1248,E10000017,Lancashire,85896
1257,E10000018,Leicestershire,39202
1266,E10000019,Lincolnshire,55817
1275,E10000020,Norfolk,64491
1284,E10000023,North Yorkshire,42111
1293,E10000024,Nottinghamshire,52097
1302,E10000025,Oxfordshire,49107
1311,E10000027,Somerset,37934
1320,E10000028,Staffordshire,47101
1329,E10000029,Suffolk,54323
1338,E10000030,Surrey,71663
1347,E10000031,Warwickshire,37302
1356,E10000032,West Sussex,58154
1365,E10000034,Worcestershire,33629
1374,W06000001,Isle of Anglesey,3735
1383,W06000002,Gwynedd,7060
1392,W06000003,Conwy,8526
1401,W06000004,Denbighshire,7295
1410,W06000005,Flintshire,7544
1419,W06000006,Wrexham,7890
1428,W06000008,Ceredigion,5294
1437,W06000009,Pembrokeshire,7277
1446,W06000010,Carmarthenshire,10048
1455,W06000011,Swansea,16417
1464,W06000012,Neath Port Talbot,7014
1473,W06000013,Bridgend,8128
1482,W06000014,Vale of Glamorgan,7474
1491,W06000015,Cardiff,32757
1500,W06000016,Rhondda Cynon Taf,15671
1509,W06000018,Caerphilly,8598
1518,W06000019,Blaenau Gwent,4160
1527,W06000020,Torfaen,3701
1536,W06000021,Monmouthshire,4674
1545,W06000022,Newport,9663
1554,W06000023,Powys,8592
1563,W06000024,Merthyr Tydfil,3325
