,Lower Tier Local Authorities Code,Lower Tier Local Authorities,Observation
6,E06000001,Hartlepool,6338
15,E06000002,Middlesbrough,11286
24,E06000003,Redcar and Cleveland,8410
33,E06000004,Stockton-on-Tees,12388
42,E06000005,Darlington,9035
51,E06000006,Halton,7088
60,E06000007,Warrington,12193
69,E06000008,Blackburn with Darwen,10290
78,E06000009,Blackpool,18843
87,E06000010,Kingston upon Hull,25419
96,E06000011,East Riding of Yorkshire,22171
105,E06000012,North East Lincolnshire,14185
114,E06000013,North Lincolnshire,10929
123,E06000014,York,15209
132,E06000015,Derby,20395
141,E06000016,Leicester,34549
150,E06000017,Rutland,2082
159,E06000018,Nottingham,33039
168,E06000019,Herefordshire,12943
177,E06000020,Telford and Wrekin,14694
186,E06000021,Stoke-on-Trent,20065
195,E06000022,Bath and North East Somerset,13758
204,E06000023,Bristol,46271
213,E06000024,North Somerset,15541
222,E06000025,South Gloucestershire,16441
231,E06000026,Plymouth,22754
240,E06000027,Torbay,15195
249,E06000030,Swindon,16798
258,E06000031,Peterborough,18675
267,E06000032,Luton,21280
276,E06000033,Southend-on-Sea,19085
285,E06000034,Thurrock,11015
294,E06000035,Medway,20219
303,E06000036,Bracknell Forest,6957
312,E06000037,West Berkshire,9668
321,E06000038,Reading,20373
330,E06000039,Slough,15101
339,E06000040,Windsor and Maidenhead,10635
348,E06000041,Wokingham,8665
357,E06000042,Milton Keynes,21780
366,E06000043,Brighton and Hove,37167
375,E06000044,Portsmouth,22196
384,E06000045,Southampton,28063
393,E06000046,Isle of Wight,11731
402,E06000047,County Durham,35156
411,E06000049,Cheshire East,23868
420,E06000050,Cheshire West and Chester,21291
429,E06000051,Shropshire,20425
438,E06000052,Cornwall,41545
447,E06000053,Isles of Scilly,224
456,E06000054,Wiltshire,27674
465,E06000055,Bedford,12905
474,E06000056,Central Bedfordshire,14329
483,E06000057,Northumberland,20149
492,E06000058,"Bournemouth, Christchurch and Poole",40460
501,E06000059,Dorset,22778
510,E06000060,Buckinghamshire,29769
519,E06000061,North Northamptonshire,24645
528,E06000062,West Northamptonshire,29463
537,E07000008,Cambridge,14735
546,E07000009,East Cambridgeshire,5103
555,E07000010,Fenland,7788
564,E07000011,Huntingdonshire,11117
573,E07000012,South Cambridgeshire,8055
582,E07000026,Allerdale,4241
591,E07000027,Barrow-in-Furness,4588
600,E07000028,Carlisle,7687
609,E07000029,Copeland,2726
618,E07000030,Eden,3522
627,E07000031,South Lakeland,6525
636,E07000032,Amber Valley,7174
645,E07000033,Bolsover,5373
654,E07000034,Chesterfield,6882
663,E07000035,Derbyshire Dales,3731
672,E07000036,Erewash,7518
681,E07000037,High Peak,5633
690,E07000038,North East Derbyshire,3841
699,E07000039,South Derbyshire,5836
708,E07000040,East Devon,8960
717,E07000041,Exeter,12024
726,E07000042,Mid Devon,5704
735,E07000043,North Devon,7364
744,E07000044,South Hams,5258
753,E07000045,Teignbridge,9357
762,E07000046,Torridge,5157
771,E07000047,West Devon,3830
780,E07000061,Eastbourne,11117
789,E07000062,Hastings,10642
798,E07000063,Lewes,6524
807,E07000064,Rother,5862
816,E07000065,Wealden,7658
825,E07000066,Basildon,9762
834,E07000067,Braintree,8573
843,E07000068,Brentwood,4589
852,E07000069,Castle Point,4585
861,E07000070,Chelmsford,10479
870,E07000071,Colchester,15003
879,E07000072,Epping Forest,7082
888,E07000073,Harlow,5298
897,E07000074,Maldon,2670
906,E07000075,Rochford,3203
915,E07000076,Tendring,11829
924,E07000077,Uttlesford,4519
933,E07000078,Cheltenham,11406
942,E07000079,Cotswold,5592
951,E07000080,Forest of Dean,4072
960,E07000081,Gloucester,10691
969,E07000082,Stroud,6125
978,E07000083,Tewkesbury,4763
987,E07000084,Basingstoke and Deane,10412
996,E07000085,East Hampshire,5692
1005,E07000086,Eastleigh,7081
1014,E07000087,Fareham,4990
1023,E07000088,Gosport,5481
1032,E07000089,Hart,4428
1041,E07000090,Havant,5760
1050,E07000091,New Forest,9259
1059,E07000092,Rushmoor,6510
1068,E07000093,Test Valley,6356
1077,E07000094,Winchester,7489
1086,E07000095,Broxbourne,5783
1095,E07000096,Dacorum,8214
1104,E07000098,Hertsmere,6544
1113,E07000099,North Hertfordshire,7756
1122,E07000102,Three Rivers,4296
1131,E07000103,Watford,10505
1140,E07000105,Ashford,8236
1149,E07000106,Canterbury,12522
1158,E07000107,Dartford,7617
1167,E07000108,Dover,8379
1176,E07000109,Gravesham,7276
1185,E07000110,Maidstone,10725
1194,E07000111,Sevenoaks,5572
1203,E07000112,Folkestone and Hythe,9555
1212,E07000113,Swale,9851
1221,E07000114,Thanet,14755
1230,E07000115,Tonbridge and Malling,5757
1239,E07000116,Tunbridge Wells,8297
1248,E07000117,Burnley,8621
1257,E07000118,Chorley,6056
1266,E07000119,Fylde,6239
1275,E07000120,Hyndburn,7088
1284,E07000121,Lancaster,11460
1293,E07000122,Pendle,7622
1302,E07000123,Preston,11923
1311,E07000124,Ribble Valley,3273
1320,E07000125,Rossendale,4459
1329,E07000126,South Ribble,5339
1338,E07000127,West Lancashire,5754
1347,E07000128,Wyre,8064
1356,E07000129,Blaby,4761
1365,E07000130,Charnwood,11541
1374,E07000131,Harborough,4687
1383,E07000132,Hinckley and Bosworth,6199
1392,E07000133,Melton,3382
1401,E07000134,North West Leicestershire,5385
1410,E07000135,Oadby and Wigston,3248
1419,E07000136,Boston,5425
1428,E07000137,East Lindsey,10971
1437,E07000138,Lincoln,10634
1446,E07000139,North Kesteven,6299
1455,E07000140,South Holland,6055
1464,E07000141,South Kesteven,9998
1473,E07000142,West Lindsey,6431
1482,E07000143,Breckland,9186
1491,E07000144,Broadland,5951
1500,E07000145,Great Yarmouth,8504
1509,E07000146,King's Lynn and West Norfolk,10482
1518,E07000147,North Norfolk,7170
1527,E07000148,Norwich,15986
1536,E07000149,South Norfolk,7213
1545,E07000163,Craven,3963
1554,E07000164,Hambleton,5245
1563,E07000165,Harrogate,11484
1572,E07000166,Richmondshire,3142
1581,E07000167,Ryedale,3958
1590,E07000168,Scarborough,9748
1599,E07000169,Selby,4571
1608,E07000170,Ashfield,8261
1617,E07000171,Bassetlaw,7210
1626,E07000172,Broxtowe,7409
1635,E07000173,Gedling,7136
1644,E07000174,Mansfield,8156
1653,E07000175,Newark and Sherwood,7476
1662,E07000176,Rushcliffe,6450
1671,E07000177,Cherwell,11453
1680,E07000178,Oxford,16150
1689,E07000179,South Oxfordshire,7921
1698,E07000180,Vale of White Horse,7003
1707,E07000181,West Oxfordshire,6580
1716,E07000187,Mendip,7770
1725,E07000188,Sedgemoor,8494
1734,E07000189,South Somerset,10552
1743,E07000192,Cannock Chase,6109
1752,E07000193,East Staffordshire,8846
1761,E07000194,Lichfield,4926
1770,E07000195,Newcastle-under-Lyme,6613
1779,E07000196,South Staffordshire,4126
1788,E07000197,Stafford,7788
1797,E07000198,Staffordshire Moorlands,4501
1806,E07000199,Tamworth,4192
1815,E07000200,Babergh,4910
1824,E07000202,Ipswich,12583
1833,E07000203,Mid Suffolk,4874
1842,E07000207,Elmbridge,8828
1851,E07000208,Epsom and Ewell,4561
1860,E07000209,Guildford,9552
1869,E07000210,Mole Valley,4506
1878,E07000211,Reigate and Banstead,8482
1887,E07000212,Runnymede,5907
1896,E07000213,Spelthorne,6783
1905,E07000214,Surrey Heath,4611
1914,E07000215,Tandridge,3973
1923,E07000216,Waverley,6494
1932,E07000217,Woking,7966
1941,E07000218,North Warwickshire,3588
1950,E07000219,Nuneaton and Bedworth,8355
1959,E07000220,Rugby,7460
1968,E07000221,Stratford-on-Avon,7055
1977,E07000222,Warwick,10844
1986,E07000223,Adur,3537
1995,E07000224,Arun,11801
2004,E07000225,Chichester,8089
2013,E07000226,Crawley,8352
2022,E07000227,Horsham,7795
2031,E07000228,Mid Sussex,8568
