,Date,type,value
0,01-Jan-05,england,81.5
1,01-Jan-05,northwest,88.599998
2,01-Jan-05,westmidlands,87.599998
3,01-Jan-05,london,75.5
4,01-Jan-05,southwest,82.900002
5,01-Feb-05,england,81.599998
6,01-Feb-05,northwest,88.599998
7,01-Feb-05,westmidlands,87.699997
8,01-Feb-05,london,75.5
9,01-Feb-05,southwest,83.400002
10,01-Mar-05,england,81.699997
11,01-Mar-05,northwest,88.599998
12,01-Mar-05,westmidlands,87.900002
13,01-Mar-05,london,75.5
14,01-Mar-05,southwest,83.5
15,01-Apr-05,england,81.800003
16,01-Apr-05,northwest,88.599998
17,01-Apr-05,westmidlands,88.099998
18,01-Apr-05,london,75.599998
19,01-Apr-05,southwest,83.699997
20,01-May-05,england,82
21,01-May-05,northwest,88.699997
22,01-May-05,westmidlands,88.300003
23,01-May-05,london,75.599998
24,01-May-05,southwest,84
25,01-Jun-05,england,82.099998
26,01-Jun-05,northwest,89
27,01-Jun-05,westmidlands,88.400002
28,01-Jun-05,london,75.599998
29,01-Jun-05,southwest,84.300003
30,01-Jul-05,england,82.300003
31,01-Jul-05,northwest,89.099998
32,01-Jul-05,westmidlands,88.599998
33,01-Jul-05,london,75.699997
34,01-Jul-05,southwest,84.5
35,01-Aug-05,england,82.5
36,01-Aug-05,northwest,89.199997
37,01-Aug-05,westmidlands,88.900002
38,01-Aug-05,london,76
39,01-Aug-05,southwest,84.800003
40,01-Sep-05,england,82.699997
41,01-Sep-05,northwest,89.400002
42,01-Sep-05,westmidlands,89.099998
43,01-Sep-05,london,76.199997
44,01-Sep-05,southwest,85.099998
45,01-Oct-05,england,82.800003
46,01-Oct-05,northwest,89.5
47,01-Oct-05,westmidlands,89.199997
48,01-Oct-05,london,76.199997
49,01-Oct-05,southwest,85.199997
50,01-Nov-05,england,83
51,01-Nov-05,northwest,89.699997
52,01-Nov-05,westmidlands,89.400002
53,01-Nov-05,london,76.300003
54,01-Nov-05,southwest,85.5
55,01-Dec-05,england,83.199997
56,01-Dec-05,northwest,90
57,01-Dec-05,westmidlands,89.900002
58,01-Dec-05,london,76.5
59,01-Dec-05,southwest,85.800003
60,01-Jan-06,england,83.5
61,01-Jan-06,northwest,90.300003
62,01-Jan-06,westmidlands,90.199997
63,01-Jan-06,london,76.800003
64,01-Jan-06,southwest,86
65,01-Feb-06,england,83.699997
66,01-Feb-06,northwest,90.400002
67,01-Feb-06,westmidlands,90.199997
68,01-Feb-06,london,77
69,01-Feb-06,southwest,86.099998
70,01-Mar-06,england,83.800003
71,01-Mar-06,northwest,90.5
72,01-Mar-06,westmidlands,90.300003
73,01-Mar-06,london,77.099998
74,01-Mar-06,southwest,86.300003
75,01-Apr-06,england,84
76,01-Apr-06,northwest,90.599998
77,01-Apr-06,westmidlands,90.5
78,01-Apr-06,london,77.300003
79,01-Apr-06,southwest,86.400002
80,01-May-06,england,84.099998
81,01-May-06,northwest,90.699997
82,01-May-06,westmidlands,90.599998
83,01-May-06,london,77.400002
84,01-May-06,southwest,86.400002
85,01-Jun-06,england,84.199997
86,01-Jun-06,northwest,90.699997
87,01-Jun-06,westmidlands,90.800003
88,01-Jun-06,london,77.599998
89,01-Jun-06,southwest,86.5
90,01-Jul-06,england,84.400002
91,01-Jul-06,northwest,90.699997
92,01-Jul-06,westmidlands,90.900002
93,01-Jul-06,london,77.800003
94,01-Jul-06,southwest,86.599998
95,01-Aug-06,england,84.599998
96,01-Aug-06,northwest,90.800003
97,01-Aug-06,westmidlands,91.099998
98,01-Aug-06,london,77.900002
99,01-Aug-06,southwest,86.800003
100,01-Sep-06,england,84.699997
101,01-Sep-06,northwest,91
102,01-Sep-06,westmidlands,91.300003
103,01-Sep-06,london,77.900002
104,01-Sep-06,southwest,87.099998
105,01-Oct-06,england,84.800003
106,01-Oct-06,northwest,91.099998
107,01-Oct-06,westmidlands,91.400002
108,01-Oct-06,london,78
109,01-Oct-06,southwest,87.099998
110,01-Nov-06,england,85
111,01-Nov-06,northwest,91.5
112,01-Nov-06,westmidlands,91.599998
113,01-Nov-06,london,78.199997
114,01-Nov-06,southwest,87.400002
115,01-Dec-06,england,85.199997
116,01-Dec-06,northwest,91.599998
117,01-Dec-06,westmidlands,91.900002
118,01-Dec-06,london,78.199997
119,01-Dec-06,southwest,87.699997
120,01-Jan-07,england,85.400002
121,01-Jan-07,northwest,91.900002
122,01-Jan-07,westmidlands,92.099998
123,01-Jan-07,london,78.400002
124,01-Jan-07,southwest,87.900002
125,01-Feb-07,england,85.599998
126,01-Feb-07,northwest,91.900002
127,01-Feb-07,westmidlands,92.099998
128,01-Feb-07,london,78.599998
129,01-Feb-07,southwest,88.199997
130,01-Mar-07,england,85.800003
131,01-Mar-07,northwest,92.300003
132,01-Mar-07,westmidlands,92.199997
133,01-Mar-07,london,78.800003
134,01-Mar-07,southwest,88.5
135,01-Apr-07,england,86
136,01-Apr-07,northwest,92.599998
137,01-Apr-07,westmidlands,92.199997
138,01-Apr-07,london,79.199997
139,01-Apr-07,southwest,88.5
140,01-May-07,england,86.199997
141,01-May-07,northwest,92.900002
142,01-May-07,westmidlands,92.300003
143,01-May-07,london,79.300003
144,01-May-07,southwest,88.800003
145,01-Jun-07,england,86.300003
146,01-Jun-07,northwest,92.900002
147,01-Jun-07,westmidlands,92.5
148,01-Jun-07,london,79.699997
149,01-Jun-07,southwest,89.099998
150,01-Jul-07,england,86.599998
151,01-Jul-07,northwest,93
152,01-Jul-07,westmidlands,92.800003
153,01-Jul-07,london,80
154,01-Jul-07,southwest,89.400002
155,01-Aug-07,england,86.900002
156,01-Aug-07,northwest,93.400002
157,01-Aug-07,westmidlands,93.099998
158,01-Aug-07,london,80.300003
159,01-Aug-07,southwest,89.800003
160,01-Sep-07,england,87.199997
161,01-Sep-07,northwest,93.599998
162,01-Sep-07,westmidlands,93.199997
163,01-Sep-07,london,80.599998
164,01-Sep-07,southwest,90
165,01-Oct-07,england,87.400002
166,01-Oct-07,northwest,93.900002
167,01-Oct-07,westmidlands,93.400002
168,01-Oct-07,london,80.900002
169,01-Oct-07,southwest,90.300003
170,01-Nov-07,england,87.699997
171,01-Nov-07,northwest,93.900002
172,01-Nov-07,westmidlands,93.699997
173,01-Nov-07,london,81.199997
174,01-Nov-07,southwest,90.599998
175,01-Dec-07,england,88
176,01-Dec-07,northwest,94
177,01-Dec-07,westmidlands,93.800003
178,01-Dec-07,london,81.699997
179,01-Dec-07,southwest,90.900002
180,01-Jan-08,england,88.5
181,01-Jan-08,northwest,94.300003
182,01-Jan-08,westmidlands,94.099998
183,01-Jan-08,london,82.199997
184,01-Jan-08,southwest,91.5
185,01-Feb-08,england,88.599998
186,01-Feb-08,northwest,94.300003
187,01-Feb-08,westmidlands,94
188,01-Feb-08,london,82.400002
189,01-Feb-08,southwest,91.599998
190,01-Mar-08,england,88.800003
191,01-Mar-08,northwest,94.400002
192,01-Mar-08,westmidlands,94.199997
193,01-Mar-08,london,82.599998
194,01-Mar-08,southwest,91.800003
195,01-Apr-08,england,89
196,01-Apr-08,northwest,94.5
197,01-Apr-08,westmidlands,94.400002
198,01-Apr-08,london,82.800003
199,01-Apr-08,southwest,92
200,01-May-08,england,89.199997
201,01-May-08,northwest,94.699997
202,01-May-08,westmidlands,94.599998
203,01-May-08,london,83.099998
204,01-May-08,southwest,92.099998
205,01-Jun-08,england,89.400002
206,01-Jun-08,northwest,94.800003
207,01-Jun-08,westmidlands,94.800003
208,01-Jun-08,london,83.400002
209,01-Jun-08,southwest,92.300003
210,01-Jul-08,england,89.599998
211,01-Jul-08,northwest,94.800003
212,01-Jul-08,westmidlands,95
213,01-Jul-08,london,83.599998
214,01-Jul-08,southwest,92.5
215,01-Aug-08,england,89.800003
216,01-Aug-08,northwest,95
217,01-Aug-08,westmidlands,95.099998
218,01-Aug-08,london,83.800003
219,01-Aug-08,southwest,92.800003
220,01-Sep-08,england,90
221,01-Sep-08,northwest,95.199997
222,01-Sep-08,westmidlands,95.199997
223,01-Sep-08,london,84
224,01-Sep-08,southwest,93.199997
225,01-Oct-08,england,90.400002
226,01-Oct-08,northwest,95.400002
227,01-Oct-08,westmidlands,95.400002
228,01-Oct-08,london,84.5
229,01-Oct-08,southwest,93.599998
230,01-Nov-08,england,90.599998
231,01-Nov-08,northwest,95.800003
232,01-Nov-08,westmidlands,95.599998
233,01-Nov-08,london,84.900002
234,01-Nov-08,southwest,93.800003
235,01-Dec-08,england,90.900002
236,01-Dec-08,northwest,95.900002
237,01-Dec-08,westmidlands,95.800003
238,01-Dec-08,london,85.199997
239,01-Dec-08,southwest,93.900002
240,01-Jan-09,england,91.099998
241,01-Jan-09,northwest,95.900002
242,01-Jan-09,westmidlands,95.900002
243,01-Jan-09,london,85.5
244,01-Jan-09,southwest,94
245,01-Feb-09,england,91.199997
246,01-Feb-09,northwest,95.900002
247,01-Feb-09,westmidlands,96
248,01-Feb-09,london,85.699997
249,01-Feb-09,southwest,93.900002
250,01-Mar-09,england,91.199997
251,01-Mar-09,northwest,95.900002
252,01-Mar-09,westmidlands,96
253,01-Mar-09,london,85.699997
254,01-Mar-09,southwest,93.800003
255,01-Apr-09,england,91.300003
256,01-Apr-09,northwest,96
257,01-Apr-09,westmidlands,96.099998
258,01-Apr-09,london,85.800003
259,01-Apr-09,southwest,94
260,01-May-09,england,91.300003
261,01-May-09,northwest,96.199997
262,01-May-09,westmidlands,95.900002
263,01-May-09,london,85.800003
264,01-May-09,southwest,94.099998
265,01-Jun-09,england,91.300003
266,01-Jun-09,northwest,96.300003
267,01-Jun-09,westmidlands,95.800003
268,01-Jun-09,london,85.699997
269,01-Jun-09,southwest,94.199997
270,01-Jul-09,england,91.199997
271,01-Jul-09,northwest,96.5
272,01-Jul-09,westmidlands,95.699997
273,01-Jul-09,london,85.5
274,01-Jul-09,southwest,94
275,01-Aug-09,england,91.099998
276,01-Aug-09,northwest,96.5
277,01-Aug-09,westmidlands,95.5
278,01-Aug-09,london,85.400002
279,01-Aug-09,southwest,93.599998
280,01-Sep-09,england,91
281,01-Sep-09,northwest,96.300003
282,01-Sep-09,westmidlands,95.300003
283,01-Sep-09,london,85.300003
284,01-Sep-09,southwest,93.699997
285,01-Oct-09,england,90.800003
286,01-Oct-09,northwest,96.300003
287,01-Oct-09,westmidlands,95.099998
288,01-Oct-09,london,85.099998
289,01-Oct-09,southwest,93.400002
290,01-Nov-09,england,90.599998
291,01-Nov-09,northwest,96.300003
292,01-Nov-09,westmidlands,94.900002
293,01-Nov-09,london,84.900002
294,01-Nov-09,southwest,93.400002
295,01-Dec-09,england,90.400002
296,01-Dec-09,northwest,96.300003
297,01-Dec-09,westmidlands,94.800003
298,01-Dec-09,london,84.800003
299,01-Dec-09,southwest,93.300003
300,01-Jan-10,england,90.300003
301,01-Jan-10,northwest,96.199997
302,01-Jan-10,westmidlands,94.699997
303,01-Jan-10,london,84.699997
304,01-Jan-10,southwest,93.199997
305,01-Feb-10,england,90.099998
306,01-Feb-10,northwest,96.199997
307,01-Feb-10,westmidlands,94.599998
308,01-Feb-10,london,84.599998
309,01-Feb-10,southwest,93
310,01-Mar-10,england,90.099998
311,01-Mar-10,northwest,96.199997
312,01-Mar-10,westmidlands,94.699997
313,01-Mar-10,london,84.5
314,01-Mar-10,southwest,92.900002
315,01-Apr-10,england,90
316,01-Apr-10,northwest,96.199997
317,01-Apr-10,westmidlands,94.599998
318,01-Apr-10,london,84.400002
319,01-Apr-10,southwest,92.800003
320,01-May-10,england,90.099998
321,01-May-10,northwest,96.300003
322,01-May-10,westmidlands,94.599998
323,01-May-10,london,84.5
324,01-May-10,southwest,92.800003
325,01-Jun-10,england,90.099998
326,01-Jun-10,northwest,96.400002
327,01-Jun-10,westmidlands,94.599998
328,01-Jun-10,london,84.5
329,01-Jun-10,southwest,92.800003
330,01-Jul-10,england,90.199997
331,01-Jul-10,northwest,96.5
332,01-Jul-10,westmidlands,94.599998
333,01-Jul-10,london,84.699997
334,01-Jul-10,southwest,92.900002
335,01-Aug-10,england,90.300003
336,01-Aug-10,northwest,96.599998
337,01-Aug-10,westmidlands,94.800003
338,01-Aug-10,london,84.800003
339,01-Aug-10,southwest,93
340,01-Sep-10,england,90.5
341,01-Sep-10,northwest,96.699997
342,01-Sep-10,westmidlands,94.900002
343,01-Sep-10,london,85
344,01-Sep-10,southwest,93.300003
345,01-Oct-10,england,90.699997
346,01-Oct-10,northwest,96.900002
347,01-Oct-10,westmidlands,95
348,01-Oct-10,london,85.300003
349,01-Oct-10,southwest,93.400002
350,01-Nov-10,england,90.800003
351,01-Nov-10,northwest,97.099998
352,01-Nov-10,westmidlands,95.099998
353,01-Nov-10,london,85.5
354,01-Nov-10,southwest,93.5
355,01-Dec-10,england,91.099998
356,01-Dec-10,northwest,97.199997
357,01-Dec-10,westmidlands,95.099998
358,01-Dec-10,london,85.900002
359,01-Dec-10,southwest,93.599998
360,01-Jan-11,england,91.400002
361,01-Jan-11,northwest,97.300003
362,01-Jan-11,westmidlands,95.300003
363,01-Jan-11,london,86.300003
364,01-Jan-11,southwest,93.699997
365,01-Feb-11,england,91.599998
366,01-Feb-11,northwest,97.300003
367,01-Feb-11,westmidlands,95.300003
368,01-Feb-11,london,86.599998
369,01-Feb-11,southwest,93.699997
370,01-Mar-11,england,91.699997
371,01-Mar-11,northwest,97.400002
372,01-Mar-11,westmidlands,95.400002
373,01-Mar-11,london,86.800003
374,01-Mar-11,southwest,93.900002
375,01-Apr-11,england,91.900002
376,01-Apr-11,northwest,97.599998
377,01-Apr-11,westmidlands,95.5
378,01-Apr-11,london,87.099998
379,01-Apr-11,southwest,94
380,01-May-11,england,92.099998
381,01-May-11,northwest,97.699997
382,01-May-11,westmidlands,95.5
383,01-May-11,london,87.400002
384,01-May-11,southwest,94.099998
385,01-Jun-11,england,92.300003
386,01-Jun-11,northwest,97.800003
387,01-Jun-11,westmidlands,95.599998
388,01-Jun-11,london,87.699997
389,01-Jun-11,southwest,94.300003
390,01-Jul-11,england,92.5
391,01-Jul-11,northwest,97.800003
392,01-Jul-11,westmidlands,95.800003
393,01-Jul-11,london,88
394,01-Jul-11,southwest,94.400002
395,01-Aug-11,england,92.699997
396,01-Aug-11,northwest,97.900002
397,01-Aug-11,westmidlands,95.900002
398,01-Aug-11,london,88.400002
399,01-Aug-11,southwest,94.5
400,01-Sep-11,england,93
401,01-Sep-11,northwest,98.099998
402,01-Sep-11,westmidlands,96.099998
403,01-Sep-11,london,88.800003
404,01-Sep-11,southwest,94.900002
405,01-Oct-11,england,93.199997
406,01-Oct-11,northwest,98.199997
407,01-Oct-11,westmidlands,96.199997
408,01-Oct-11,london,89.099998
409,01-Oct-11,southwest,95
410,01-Nov-11,england,93.400002
411,01-Nov-11,northwest,98.300003
412,01-Nov-11,westmidlands,96.300003
413,01-Nov-11,london,89.5
414,01-Nov-11,southwest,95.300003
415,01-Dec-11,england,93.800003
416,01-Dec-11,northwest,98.300003
417,01-Dec-11,westmidlands,96.400002
418,01-Dec-11,london,90
419,01-Dec-11,southwest,95.400002
420,01-Jan-12,england,94
421,01-Jan-12,northwest,98.400002
422,01-Jan-12,westmidlands,96.599998
423,01-Jan-12,london,90.5
424,01-Jan-12,southwest,95.599998
425,01-Feb-12,england,94.199997
426,01-Feb-12,northwest,98.5
427,01-Feb-12,westmidlands,96.599998
428,01-Feb-12,london,90.800003
429,01-Feb-12,southwest,95.699997
430,01-Mar-12,england,94.300003
431,01-Mar-12,northwest,98.599998
432,01-Mar-12,westmidlands,96.599998
433,01-Mar-12,london,91
434,01-Mar-12,southwest,95.699997
435,01-Apr-12,england,94.599998
436,01-Apr-12,northwest,98.699997
437,01-Apr-12,westmidlands,96.699997
438,01-Apr-12,london,91.599998
439,01-Apr-12,southwest,95.699997
440,01-May-12,england,94.800003
441,01-May-12,northwest,98.699997
442,01-May-12,westmidlands,96.800003
443,01-May-12,london,91.900002
444,01-May-12,southwest,95.900002
