SDR Valuations,,,,,
,,,,,
Report date,Currency Unit,Currency amount under Rule O-1,Exchange rate,U.S. Dollar equivalent,Percent change in exchange rate against U.S. dollar from previous calculation
,,,,,
,,,,,
02-Jan-81,Deutsche mark,0.46,1.974,0.233029,0
02-Jan-81,French franc,0.74,4.56,0.162281,0
02-Jan-81,Japanese yen,34,202.87,0.167595,0
02-Jan-81,U.K. pound,0.071,2.378,0.168838,0
02-Jan-81,U.S. dollar,0.54,1,0.54,0
,,,,1.271743,
,,,     U.S.$1.00 = SDR,0.786322,
,,,       SDR1 = US$,1.27174,
,,,,,
05-Jan-81,Deutsche mark,0.46,1.957,0.235054,0.869
05-Jan-81,French franc,0.74,4.5352,0.163168,0.547
05-Jan-81,Japanese yen,34,199.67,0.170281,1.603
05-Jan-81,U.K. pound,0.071,2.402,0.170542,1.009
05-Jan-81,U.S. dollar,0.54,1,0.54,0
,,,,1.279045,
,,,     U.S.$1.00 = SDR,0.781833,
,,,       SDR1 = US$,1.27905,0.575
,,,,,
06-Jan-81,Deutsche mark,0.46,1.9312,0.238194,1.336
06-Jan-81,French franc,0.74,4.4745,0.165382,1.357
06-Jan-81,Japanese yen,34,199.42,0.170494,0.125
06-Jan-81,U.K. pound,0.071,2.4255,0.172211,0.978
06-Jan-81,U.S. dollar,0.54,1,0.54,0
,,,,1.286281,
,,,     U.S.$1.00 = SDR,0.777435,
,,,       SDR1 = US$,1.28628,0.565
,,,,,
07-Jan-81,Deutsche mark,0.46,1.94,0.237113,-0.454
07-Jan-81,French franc,0.74,4.487,0.164921,-0.279
07-Jan-81,Japanese yen,34,200.2,0.16983,-0.39
07-Jan-81,U.K. pound,0.071,2.4205,0.171856,-0.206
07-Jan-81,U.S. dollar,0.54,1,0.54,0
,,,,1.28372,
,,,     U.S.$1.00 = SDR,0.778986,
,,,       SDR1 = US$,1.28372,-0.199
,,,,,
08-Jan-81,Deutsche mark,0.46,1.9624,0.234407,-1.141
08-Jan-81,French franc,0.74,4.5347,0.163186,-1.052
08-Jan-81,Japanese yen,34,201.17,0.169011,-0.482
08-Jan-81,U.K. pound,0.071,2.4033,0.170634,-0.711
08-Jan-81,U.S. dollar,0.54,1,0.54,0
,,,,1.277238,
,,,     U.S.$1.00 = SDR,0.782939,
,,,       SDR1 = US$,1.27724,-0.505
,,,,,
09-Jan-81,Deutsche mark,0.46,1.9672,0.233835,-0.244
09-Jan-81,French franc,0.74,4.5462,0.162773,-0.253
09-Jan-81,Japanese yen,34,202.15,0.168192,-0.485
09-Jan-81,U.K. pound,0.071,2.4017,0.170521,-0.067
09-Jan-81,U.S. dollar,0.54,1,0.54,0
,,,,1.275321,
,,,     U.S.$1.00 = SDR,0.784116,
,,,       SDR1 = US$,1.27532,-0.15
,,,,,
12-Jan-81,Deutsche mark,0.46,1.9745,0.23297,-0.37
12-Jan-81,French franc,0.74,4.563,0.162174,-0.368
12-Jan-81,Japanese yen,34,203.05,0.167446,-0.443
12-Jan-81,U.K. pound,0.071,2.4035,0.170649,0.075
12-Jan-81,U.S. dollar,0.54,1,0.54,0
,,,,1.273239,
,,,     U.S.$1.00 = SDR,0.785398,
