,HE provider,Latitude,Longitude ,Year,Students
0,Anglia Ruskin University,52.628101,1.299349,2015,19830
1,Anglia Ruskin University,52.628101,1.299349,2016,20935
2,Anglia Ruskin University,52.628101,1.299349,2017,22245
3,Anglia Ruskin University,52.628101,1.299349,2018,23485
4,Anglia Ruskin University,52.628101,1.299349,2019,24490
5,Anglia Ruskin University,52.628101,1.299349,2020,26715
6,Anglia Ruskin University,52.628101,1.299349,2021,32180
7,Queen's University Belfast,54.597269,-5.930109,2015,23855
8,Queen's University Belfast,54.597269,-5.930109,2016,23870
9,Queen's University Belfast,54.597269,-5.930109,2017,23850
10,Queen's University Belfast,54.597269,-5.930109,2018,24490
11,Queen's University Belfast,54.597269,-5.930109,2019,24695
12,Queen's University Belfast,54.597269,-5.930109,2020,24915
13,Queen's University Belfast,54.597269,-5.930109,2021,25365
14,Birmingham City University,52.482899,-1.893462,2015,23335
15,Birmingham City University,52.482899,-1.893462,2016,24065
16,Birmingham City University,52.482899,-1.893462,2017,24130
17,Birmingham City University,52.482899,-1.893462,2018,24575
18,Birmingham City University,52.482899,-1.893462,2019,25855
19,Birmingham City University,52.482899,-1.893462,2020,26930
20,Birmingham City University,52.482899,-1.893462,2021,28995
21,The University of Birmingham,52.482899,-1.893462,2015,34160
22,The University of Birmingham,52.482899,-1.893462,2016,33830
23,The University of Birmingham,52.482899,-1.893462,2017,34835
24,The University of Birmingham,52.482899,-1.893462,2018,34915
25,The University of Birmingham,52.482899,-1.893462,2019,35445
26,The University of Birmingham,52.482899,-1.893462,2020,35760
27,The University of Birmingham,52.482899,-1.893462,2021,37750
28,The University of Bristol,51.454514,-2.58791,2015,21555
29,The University of Bristol,51.454514,-2.58791,2016,21905
30,The University of Bristol,51.454514,-2.58791,2017,23590
31,The University of Bristol,51.454514,-2.58791,2018,24850
32,The University of Bristol,51.454514,-2.58791,2019,25955
33,The University of Bristol,51.454514,-2.58791,2020,27375
34,The University of Bristol,51.454514,-2.58791,2021,29785
35,The University of Cambridge,52.205,0.119,2015,19515
36,The University of Cambridge,52.205,0.119,2016,19660
37,The University of Cambridge,52.205,0.119,2017,19955
38,The University of Cambridge,52.205,0.119,2018,20510
39,The University of Cambridge,52.205,0.119,2019,20890
40,The University of Cambridge,52.205,0.119,2020,21340
41,The University of Cambridge,52.205,0.119,2021,22155
42,Cardiff University,51.481307,-3.180498,2015,30480
43,Cardiff University,51.481307,-3.180498,2016,30675
44,Cardiff University,51.481307,-3.180498,2017,31595
45,Cardiff University,51.481307,-3.180498,2018,31935
46,Cardiff University,51.481307,-3.180498,2019,33190
47,Cardiff University,51.481307,-3.180498,2020,33260
48,Cardiff University,51.481307,-3.180498,2021,33510
49,The University of Central Lancashire,53.759,-2.699,2015,25655
50,The University of Central Lancashire,53.759,-2.699,2016,24460
51,The University of Central Lancashire,53.759,-2.699,2017,24160
52,The University of Central Lancashire,53.759,-2.699,2018,23000
53,The University of Central Lancashire,53.759,-2.699,2019,23160
54,The University of Central Lancashire,53.759,-2.699,2020,24715
55,The University of Central Lancashire,53.759,-2.699,2021,27945
56,"City, University of London",51.500152,-0.126236,2015,18280
57,"City, University of London",51.500152,-0.126236,2016,18995
58,"City, University of London",51.500152,-0.126236,2017,19405
59,"City, University of London",51.500152,-0.126236,2018,19780
60,"City, University of London",51.500152,-0.126236,2019,20210
61,"City, University of London",51.500152,-0.126236,2020,19975
62,"City, University of London",51.500152,-0.126236,2021,21325
63,Coventry University,52.408056,-1.510556,2015,27600
64,Coventry University,52.408056,-1.510556,2016,29430
65,Coventry University,52.408056,-1.510556,2017,31690
66,Coventry University,52.408056,-1.510556,2018,34125
67,Coventry University,52.408056,-1.510556,2019,34970
68,Coventry University,52.408056,-1.510556,2020,38430
