Date ,1. Food and non-alcoholic beverages,2. Alcoholic beverages and tobacco,3. Clothing and footwear,"4. Housing, water, electricity, gas and other fuels","5. Furniture, household equipment and maintenance",6. Health,7. Transport,8. Communication,9. Recreation and culture,10. Education,11. Restaurants and hotels,12. Miscellaneous goods and services,date
01/01/2006,0.17,0.15,-0.31,0.85,-0.10,0.05,0.53,0.01,-0.34,0.03,0.44,0.32,38718
01/02/2006,0.15,0.11,-0.31,0.87,-0.08,0.05,0.49,0.01,-0.11,0.03,0.44,0.33,2006
01/03/2006,-0.04,0.15,-0.31,0.94,-0.07,0.05,0.43,0.01,-0.20,0.03,0.44,0.34,2006
01/04/2006,0.06,0.14,-0.29,1.04,-0.11,0.06,0.47,0.01,-0.25,0.03,0.37,0.38,2006
01/05/2006,0.15,0.13,-0.24,1.22,-0.10,0.07,0.55,-0.01,-0.26,0.03,0.38,0.37,2006
01/06/2006,0.24,0.19,-0.26,1.32,-0.06,0.06,0.52,-0.01,-0.27,0.03,0.38,0.41,2006
01/07/2006,0.41,0.17,-0.33,1.37,-0.14,0.06,0.62,0.01,-0.23,0.03,0.38,0.33,2006
01/08/2006,0.44,0.19,-0.28,1.43,-0.08,0.06,0.55,-0.02,-0.17,0.03,0.35,0.36,2006
01/09/2006,0.50,0.20,-0.23,1.44,0.00,0.07,0.07,0.00,-0.18,0.05,0.34,0.37,2006
01/10/2006,0.59,0.18,-0.21,1.48,-0.08,0.07,-0.09,0.03,-0.19,0.09,0.35,0.35,2006
01/11/2006,0.61,0.15,-0.21,1.52,-0.08,0.07,-0.02,0.02,-0.15,0.09,0.37,0.32,2006
01/12/2006,0.56,0.15,-0.27,1.55,0.02,0.09,0.27,0.02,-0.09,0.09,0.37,0.30,2006
01/01/2007,0.48,0.20,-0.24,1.55,0.05,0.09,0.11,-0.05,-0.09,0.09,0.38,0.28,2007
01/02/2007,0.53,0.23,-0.24,1.53,0.09,0.09,0.18,-0.07,-0.23,0.09,0.39,0.33,2007
01/03/2007,0.69,0.24,-0.23,1.39,0.19,0.09,0.20,-0.07,-0.18,0.09,0.40,0.33,2007
01/04/2007,0.73,0.25,-0.16,1.12,0.17,0.07,0.21,-0.10,-0.19,0.09,0.45,0.22,2007
01/05/2007,0.61,0.23,-0.21,0.83,0.18,0.07,0.35,-0.08,-0.20,0.09,0.43,0.20,2007
01/06/2007,0.59,0.18,-0.18,0.63,0.25,0.08,0.44,-0.10,-0.26,0.09,0.45,0.15,2007
01/07/2007,0.35,0.19,-0.12,0.52,0.13,0.08,0.36,-0.13,-0.31,0.09,0.44,0.17,2007
01/08/2007,0.36,0.18,-0.18,0.42,0.09,0.07,0.40,-0.05,-0.23,0.09,0.44,0.08,2007
01/09/2007,0.47,0.18,-0.23,0.34,0.10,0.08,0.37,-0.08,-0.25,0.10,0.46,0.08,2007
01/10/2007,0.60,0.15,-0.25,0.22,0.14,0.07,0.66,-0.11,-0.25,0.13,0.44,0.10,2007
