,,,,,Countries,,,,,Regions,,,,,,,,,,,,,
,,K02000001,K03000001,,E92000001,W92000004,S92000003,N92000002,,E12000001,E12000002,E12000003,E12000004,E12000005,E12000006,E12000007,E12000008,E12000009,,,,,
,,United Kingdom,Great Britain,,England,Wales,Scotland,Northern Ireland1,,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East ,London,South East,South West,,UK excluding London,GB excluding London,England excluding London,
,,,,,,,,,,,,,,,,,,,,,,,
2005,Jan,-,-,,81.5,-,-,-,,86.1,88.6,84.9,88.0,87.6,85.4,75.5,82.9,82.9,,,-,85.1,
,Feb,-,-,,81.6,-,-,-,,86.4,88.6,85.3,88.4,87.7,85.5,75.5,82.9,83.4,,,-,85.3,
,Mar,-,-,,81.7,-,-,-,,86.5,88.6,85.4,88.4,87.9,85.4,75.5,83.0,83.5,,,-,85.3,
,Apr,-,-,,81.8,-,-,-,,87.0,88.6,85.6,88.8,88.1,85.7,75.6,83.1,83.7,,,-,85.5,
,May,-,-,,82.0,-,-,-,,87.2,88.7,85.7,89.3,88.3,86.0,75.6,83.4,84.0,,,-,85.8,
,Jun,-,-,,82.1,-,-,-,,87.4,89.0,86.0,89.4,88.4,86.3,75.6,83.5,84.3,,,-,86.0,
,Jul,-,-,,82.3,-,-,-,,87.5,89.1,86.2,89.6,88.6,86.9,75.7,83.7,84.5,,,-,86.2,
,Aug,-,-,,82.5,-,-,-,,87.6,89.2,86.4,89.7,88.9,87.2,76.0,83.8,84.8,,,-,86.4,
,Sep,-,-,,82.7,-,-,-,,87.9,89.4,86.7,89.8,89.1,87.4,76.2,84.0,85.1,,,-,86.6,
,Oct,-,-,,82.8,-,-,-,,88.1,89.5,87.0,90.1,89.2,87.7,76.2,84.1,85.2,,,-,86.8,
,Nov,-,-,,83.0,-,-,-,,88.3,89.7,87.0,90.2,89.4,87.8,76.3,84.2,85.5,,,-,86.9,
,Dec,-,-,,83.2,-,-,-,,88.7,90.0,87.3,90.3,89.9,88.2,76.5,84.5,85.8,,,-,87.3,
2006,Jan,-,-,,83.5,-,-,-,,89.0,90.3,87.7,90.8,90.2,88.5,76.8,84.7,86.0,,,-,87.5,
,Feb,-,-,,83.7,-,-,-,,89.1,90.4,87.9,90.8,90.2,88.6,77.0,84.8,86.1,,,-,87.6,
,Mar,-,-,,83.8,-,-,-,,89.4,90.5,88.2,90.9,90.3,88.8,77.1,84.9,86.3,,,-,87.8,
,Apr,-,-,,84.0,-,-,-,,89.4,90.6,88.2,91.1,90.5,88.9,77.3,85.2,86.4,,,-,88.0,
,May,-,-,,84.1,-,-,-,,89.7,90.7,88.5,91.3,90.6,89.1,77.4,85.4,86.4,,,-,88.1,
,Jun,-,-,,84.2,-,-,-,,90.1,90.7,88.6,91.3,90.8,89.3,77.6,85.5,86.5,,,-,88.2,
,Jul,-,-,,84.4,-,-,-,,90.4,90.7,88.9,91.4,90.9,89.4,77.8,85.6,86.6,,,-,88.3,
,Aug,-,-,,84.6,-,-,-,,90.6,90.8,89.5,91.6,91.1,89.6,77.9,85.7,86.8,,,-,88.5,
,Sep,-,-,,84.7,-,-,-,,90.6,91.0,89.6,91.9,91.3,89.9,77.9,85.9,87.1,,,-,88.8,
,Oct,-,-,,84.8,-,-,-,,90.6,91.1,89.5,92.1,91.4,89.9,78.0,86.0,87.1,,,-,88.8,
,Nov,-,-,,85.0,-,-,-,,90.6,91.5,89.8,92.3,91.6,90.1,78.2,86.2,87.4,,,-,89.0,
,Dec,-,-,,85.2,-,-,-,,91.1,91.6,90.4,92.5,91.9,90.2,78.2,86.2,87.7,,,-,89.3,
2007,Jan,-,-,,85.4,-,-,-,,91.5,91.9,90.8,92.5,92.1,90.3,78.4,86.7,87.9,,,-,89.5,
,Feb,-,-,,85.6,-,-,-,,91.8,91.9,90.9,92.7,92.1,90.5,78.6,86.8,88.2,,,-,89.7,
,Mar,-,-,,85.8,-,-,-,,91.9,92.3,90.9,92.7,92.2,90.9,78.8,86.9,88.5,,,-,89.9,
,Apr,-,-,,86.0,-,-,-,,92.0,92.6,91.0,92.9,92.2,91.2,79.2,87.1,88.5,,,-,90.1,
,May,-,-,,86.2,-,-,-,,91.8,92.9,91.3,93.2,92.3,91.2,79.3,87.2,88.8,,,-,90.2,
,Jun,-,-,,86.3,-,-,-,,91.9,92.9,91.7,93.3,92.5,91.3,79.7,87.2,89.1,,,-,90.3,
,Jul,-,-,,86.6,-,-,-,,92.1,93.0,91.6,93.7,92.8,91.4,80.0,87.4,89.4,,,-,90.5,
,Aug,-,-,,86.9,-,-,-,,92.3,93.4,92.2,93.7,93.1,91.6,80.3,87.6,89.8,,,-,90.8,
,Sep,-,-,,87.2,-,-,-,,92.4,93.6,92.5,93.8,93.2,91.8,80.6,87.9,90.0,,,-,91.1,
,Oct,-,-,,87.4,-,-,-,,92.7,93.9,92.7,94.0,93.4,92.2,80.9,88.2,90.3,,,-,91.3,
,Nov,-,-,,87.7,-,-,-,,93.0,93.9,93.3,94.1,93.7,92.4,81.2,88.5,90.6,,,-,91.6,
,Dec,-,-,,88.0,-,-,-,,93.5,94.0,93.6,94.3,93.8,92.6,81.7,88.7,90.9,,,-,91.8,
2008,Jan,-,-,,88.5,-,-,-,,94.2,94.3,93.8,94.5,94.1,93.0,82.2,89.2,91.5,,,-,92.2,
,Feb,-,-,,88.6,-,-,-,,94.1,94.3,94.0,94.7,94.0,93.0,82.4,89.4,91.6,,,-,92.3,
,Mar,-,-,,88.8,-,-,-,,94.2,94.4,94.1,94.9,94.2,93.2,82.6,89.6,91.8,,,-,92.5,
,Apr,-,-,,89.0,-,-,-,,94.5,94.5,94.2,95.0,94.4,93.5,82.8,89.8,92.0,,,-,92.7,
,May,-,-,,89.2,-,-,-,,94.8,94.7,94.4,95.2,94.6,93.6,83.1,89.9,92.1,,,-,92.8,
,Jun,-,-,,89.4,-,-,-,,94.8,94.8,94.5,95.5,94.8,93.8,83.4,90.2,92.3,,,-,93.0,
,Jul,-,-,,89.6,-,-,-,,95.0,94.8,94.6,95.6,95.0,94.1,83.6,90.3,92.5,,,-,93.2,
,Aug,-,-,,89.8,-,-,-,,95.1,95.0,94.8,95.7,95.1,94.3,83.8,90.7,92.8,,,-,93.4,
,Sep,-,-,,90.0,-,-,-,,95.4,95.2,94.8,95.7,95.2,94.4,84.0,91.1,93.2,,,-,93.7,
