Year,Year 1,economy,Inflation
2000,YR2000,RUS,20.79876066
2000,YR2000,UKR,28.20309724
2000,YR2000,BLR,168.6202359
2000,YR2000,EST,4.018489525
2000,YR2000,LVA,2.654254778
2000,YR2000,LTU,0.981615479
2000,YR2000,POL,9.900175388
2000,YR2000,HUN,9.803610169
2000,YR2000,ROU,45.66659404
2000,YR2000,ALB,0.050018136
2000,YR2000,AUT,2.344862854
2000,YR2000,BGR,10.31626213
2000,YR2000,CHE,1.558529197
2000,YR2000,CZE,3.775388292
2000,YR2000,DEU,1.440268187
2000,YR2000,DNK,2.903282032
2000,YR2000,ESP,3.433515634
2000,YR2000,FIN,3.042100807
2000,YR2000,FRA,1.675959887
2000,YR2000,GRC,3.151181625
2000,YR2000,HRV,4.611315547
2000,YR2000,IRL,5.5907173
2000,YR2000,ISL,5.136471232
2000,YR2000,ITA,2.537685321
2000,YR2000,LUX,3.15076707
2000,YR2000,MDA,31.29930158
2000,YR2000,MKD,6.60742291
2000,YR2000,MLT,2.369592875
2000,YR2000,NLD,2.360522338
2000,YR2000,NOR,3.085506091
2000,YR2000,PRT,2.853030393
2000,YR2000,SRB,71.12062879
2000,YR2000,SVK,12.0357806
2000,YR2000,SVN,8.911744187
2000,YR2000,SWE,0.899143734
2001,YR2001,RUS,21.47700721
2001,YR2001,UKR,11.95880854
2001,YR2001,BLR,61.13493316
2001,YR2001,EST,5.748279817
2001,YR2001,LVA,2.487040036
2001,YR2001,LTU,1.367120308
2001,YR2001,POL,5.408335456
2001,YR2001,HUN,9.116809117
2001,YR2001,ROU,34.47701235
2001,YR2001,ALB,3.10758827
2001,YR2001,AUT,2.650000773
2001,YR2001,BGR,7.360939272
2001,YR2001,CHE,0.98902033
2001,YR2001,CZE,4.66267557
2001,YR2001,DEU,1.983856936
2001,YR2001,DNK,2.337870003
2001,YR2001,ESP,3.589834133
2001,YR2001,FIN,2.578440801
2001,YR2001,FRA,1.634780795
2001,YR2001,GRC,3.373968322
2001,YR2001,HRV,3.776702467
2001,YR2001,IRL,4.872904873
2001,YR2001,ISL,6.405085504
2001,YR2001,ITA,2.785165427
2001,YR2001,LUX,2.663821106
2001,YR2001,MDA,9.764662858
2001,YR2001,MKD,5.198885257
2001,YR2001,MLT,2.929492443
2001,YR2001,NLD,4.155841272
2001,YR2001,NOR,3.00419704
2001,YR2001,PRT,4.369903306
2001,YR2001,SRB,95.00522581
2001,YR2001,SVK,7.329620191
2001,YR2001,SVN,8.379665875
2001,YR2001,SWE,2.405958341
2002,YR2002,RUS,15.78873079
2002,YR2002,UKR,0.757420846
2002,YR2002,BLR,42.53754813
2002,YR2002,EST,3.571912702
2002,YR2002,LVA,1.938875739
2002,YR2002,LTU,0.28150661
2002,YR2002,POL,1.90528215
2002,YR2002,HUN,5.265448216
2002,YR2002,ROU,22.53988626
2002,YR2002,ALB,7.770525834
2002,YR2002,AUT,1.810357878
2002,YR2002,BGR,5.810143657
2002,YR2002,CHE,0.642711507
2002,YR2002,CZE,1.90298097
2002,YR2002,DEU,1.420805605
2002,YR2002,DNK,2.424436612
2002,YR2002,ESP,3.065656859
2002,YR2002,FIN,1.571220128
2002,YR2002,FRA,1.923412287
2002,YR2002,GRC,3.629358719
2002,YR2002,HRV,1.671784374
2002,YR2002,IRL,4.614733277
2002,YR2002,ISL,5.197022302
2002,YR2002,ITA,2.465323192
2002,YR2002,LUX,2.074086136
2002,YR2002,MDA,5.301243903
2002,YR2002,MKD,2.314597941
2002,YR2002,MLT,2.188490481
2002,YR2002,NLD,3.287531047
2002,YR2002,NOR,1.286725284
2002,YR2002,PRT,3.600346583
2002,YR2002,SRB,19.49083216
2002,YR2002,SVK,3.12714223
2002,YR2002,SVN,7.480777707
2002,YR2002,SWE,2.158482136
2003,YR2003,RUS,13.66329302
2003,YR2003,UKR,5.179677819
2003,YR2003,BLR,28.39783991
2003,YR2003,EST,1.334991165
2003,YR2003,LVA,2.942647529
2003,YR2003,LTU,-1.13430855
2003,YR2003,POL,0.682701376
2003,YR2003,HUN,4.661016949
2003,YR2003,ROU,15.27348899
2003,YR2003,ALB,0.484002612
2003,YR2003,AUT,1.355553709
2003,YR2003,BGR,2.348641696
2003,YR2003,CHE,0.638272931
2003,YR2003,CZE,0.118739206
2003,YR2003,DEU,1.034227766
2003,YR2003,DNK,2.075078206
2003,YR2003,ESP,3.038888394
2003,YR2003,FIN,0.877440386
2003,YR2003,FRA,2.098472191
2003,YR2003,GRC,3.530650278
2003,YR2003,HRV,1.767337808
2003,YR2003,IRL,3.49048968
2003,YR2003,ISL,2.055663298
2003,YR2003,ITA,2.672555528
2003,YR2003,XKX,-1.084812623
2003,YR2003,LUX,2.049840306
2003,YR2003,MDA,11.74607921
2003,YR2003,MKD,0.855562123
2003,YR2003,MLT,1.303837774
2003,YR2003,NLD,2.09199839
2003,YR2003,NOR,2.487825535
2003,YR2003,PRT,3.218990907
2003,YR2003,SRB,9.876178897
2003,YR2003,SVK,8.554143054
2003,YR2003,SVN,5.544164218
2003,YR2003,SWE,1.925655349
2004,YR2004,RUS,10.88861573
2004,YR2004,UKR,9.048067861
2004,YR2004,BLR,18.10824249
2004,YR2004,EST,3.048111075
2004,YR2004,LVA,6.192385472
2004,YR2004,LTU,1.164102521
2004,YR2004,POL,3.382646819
2004,YR2004,HUN,6.744346796
2004,YR2004,ROU,11.87436359
2004,YR2004,ALB,2.280019169
2004,YR2004,AUT,2.06120618
2004,YR2004,BGR,6.147130742
2004,YR2004,CHE,0.802908731
2004,YR2004,CZE,2.760107817
2004,YR2004,DEU,1.665733409
2004,YR2004,DNK,1.154356931
2004,YR2004,ESP,3.039248811
2004,YR2004,FIN,0.187120559
2004,YR2004,FRA,2.142089646
2004,YR2004,GRC,2.898848108
2004,YR2004,HRV,2.055396791
2004,YR2004,IRL,2.199628507
2004,YR2004,ISL,3.158193243
2004,YR2004,ITA,2.206736614
2004,YR2004,XKX,-1.064726966
2004,YR2004,LUX,2.225679164
2004,YR2004,MDA,12.52427684
2004,YR2004,MKD,-0.448650207
2004,YR2004,MLT,2.790828481
2004,YR2004,NLD,1.263647392
2004,YR2004,NOR,0.454498502
2004,YR2004,PRT,2.365362041
2004,YR2004,SMR,1.430838685
2004,YR2004,SRB,11.02636272
2004,YR2004,SVK,7.548500882
2004,YR2004,SVN,3.592975942
2004,YR2004,SWE,0.373659829
2005,YR2005,RUS,12.68530395
2005,YR2005,UKR,13.56957649
2005,YR2005,BLR,10.33887945
2005,YR2005,EST,4.079714232
2005,YR2005,LVA,6.748450279
2005,YR2005,LTU,2.658484841
2005,YR2005,POL,2.183798724
2005,YR2005,HUN,3.561517114
2005,YR2005,ROU,9.014912833
2005,YR2005,ALB,2.366581957
2005,YR2005,AUT,2.299137856
2005,YR2005,BGR,5.038838071
2005,YR2005,CHE,1.171954203
2005,YR2005,CZE,1.857097891
2005,YR2005,DEU,1.546909652
2005,YR2005,DNK,1.817814583
2005,YR2005,ESP,3.368814098
2005,YR2005,FIN,0.62387445
2005,YR2005,FRA,1.745869364
2005,YR2005,GRC,3.545072733
2005,YR2005,HRV,3.317178244
2005,YR2005,IRL,2.429691984
2005,YR2005,ISL,3.987047828
2005,YR2005,ITA,1.985292985
2005,YR2005,XKX,-1.385189132
2005,YR2005,LUX,2.487696652
2005,YR2005,MDA,11.95918372
2005,YR2005,MKD,0.525515951
2005,YR2005,MLT,3.007966525
2005,YR2005,NLD,1.688130179
2005,YR2005,NOR,1.532133676
2005,YR2005,PRT,2.277163949
2005,YR2005,SMR,1.685488905
2005,YR2005,SRB,16.11998065
2005,YR2005,SVK,2.709084946
2005,YR2005,SVN,2.451501323
2005,YR2005,SWE,0.453170853
2006,YR2006,RUS,9.668654548
2006,YR2006,UKR,9.052524911
2006,YR2006,BLR,6.997129035
2006,YR2006,EST,4.437620424
2006,YR2006,LVA,6.536199088
2006,YR2006,LTU,3.739120041
2006,YR2006,POL,1.284693944
2006,YR2006,HUN,3.930326038
2006,YR2006,ROU,6.558514123
2006,YR2006,ALB,2.370728319
2006,YR2006,AUT,1.441548511
2006,YR2006,BGR,7.261594628
2006,YR2006,BIH,6.125566156
2006,YR2006,CHE,1.059509283
2006,YR2006,CZE,2.533992583
2006,YR2006,DEU,1.577428259
2006,YR2006,DNK,1.924221385
2006,YR2006,ESP,3.515575768
2006,YR2006,FIN,1.566663807
2006,YR2006,FRA,1.675124496
2006,YR2006,GRC,3.195946841
2006,YR2006,HRV,3.189825915
2006,YR2006,IRL,3.931639895
2006,YR2006,ISL,6.687079061
2006,YR2006,ITA,2.09084391
2006,YR2006,XKX,0.621646939
2006,YR2006,LUX,2.666314946
2006,YR2006,MDA,12.77775578
2006,YR2006,MKD,3.213629296
2006,YR2006,MLT,2.773780065
2006,YR2006,MNE,2.924512581
2006,YR2006,NLD,1.101501065
2006,YR2006,NOR,2.329349808
2006,YR2006,PRT,3.107665459
2006,YR2006,SMR,2.095259356
2006,YR2006,SRB,11.724023
2006,YR2006,SVK,4.483331204
2006,YR2006,SVN,2.457924442
2006,YR2006,SWE,1.360214686
2007,YR2007,RUS,9.007298689
2007,YR2007,UKR,12.83877962
2007,YR2007,BLR,8.426752735
2007,YR2007,EST,6.601326031
2007,YR2007,LVA,10.09297758
2007,YR2007,LTU,5.737173828
2007,YR2007,POL,2.458743124
2007,YR2007,HUN,7.958745165
2007,YR2007,ROU,4.837329283
2007,YR2007,ALB,2.932682482
2007,YR2007,AUT,2.168555288
2007,YR2007,BGR,8.40253419
2007,YR2007,BIH,1.500777106
2007,YR2007,CHE,0.732350603
2007,YR2007,CZE,2.853124372
2007,YR2007,DEU,2.298341797
2007,YR2007,DNK,1.693265862
2007,YR2007,ESP,2.786797458
2007,YR2007,FIN,2.510665652
2007,YR2007,FRA,1.48799806
2007,YR2007,GRC,2.895003215
2007,YR2007,HRV,2.899282756
2007,YR2007,IRL,4.897115644
2007,YR2007,ISL,5.051557365
2007,YR2007,ITA,1.829741122
2007,YR2007,XKX,4.358496953
2007,YR2007,LUX,2.312458618
2007,YR2007,MDA,12.36716684
2007,YR2007,MKD,2.251757983
2007,YR2007,MLT,1.249219238
2007,YR2007,MNE,4.347122157
2007,YR2007,NLD,1.613858598
2007,YR2007,NOR,0.712589074
2007,YR2007,PRT,2.453965281
2007,YR2007,SMR,2.498945757
2007,YR2007,SRB,6.391706444
2007,YR2007,SVK,2.756723716
2007,YR2007,SVN,3.657495633
2007,YR2007,SWE,2.212168834
2008,YR2008,RUS,14.11076778
2008,YR2008,UKR,25.22646171
2008,YR2008,BLR,14.83787648
2008,YR2008,EST,10.36235803
2008,YR2008,LVA,15.40231911
2008,YR2008,LTU,10.92588562
2008,YR2008,POL,4.164971935
2008,YR2008,HUN,6.042512539
2008,YR2008,ROU,7.850802557
2008,YR2008,ALB,3.320870904
2008,YR2008,AUT,3.215950332
2008,YR2008,BGR,12.3487196
2008,YR2008,BIH,7.427043103
2008,YR2008,CHE,2.426041171
2008,YR2008,CZE,6.358663802
2008,YR2008,DEU,2.628381749
2008,YR2008,DNK,3.416267943
2008,YR2008,ESP,4.07534336
2008,YR2008,FIN,4.065953554
2008,YR2008,FRA,2.812861949
2008,YR2008,GRC,4.152797081
2008,YR2008,HRV,6.076968388
2008,YR2008,IRL,4.060304951
2008,YR2008,ISL,12.69439428
2008,YR2008,ITA,3.347832584
2008,YR2008,XKX,9.350417647
2008,YR2008,LUX,3.40187963
2008,YR2008,MDA,12.78304726
2008,YR2008,MKD,8.33189667
2008,YR2008,MLT,4.258621719
2008,YR2008,MNE,8.758727696
2008,YR2008,NLD,2.486501983
2008,YR2008,NOR,3.753930818
2008,YR2008,PRT,2.588506577
2008,YR2008,SMR,4.293202493
2008,YR2008,SRB,12.41098678
2008,YR2008,SVK,4.598179763
2008,YR2008,SVN,5.647423806
2008,YR2008,SWE,3.437049106
2009,YR2009,RUS,11.64732958
2009,YR2009,UKR,15.88119246
2009,YR2009,BLR,12.94565634
2009,YR2009,EST,-0.078408311
2009,YR2009,LVA,3.534106729
2009,YR2009,LTU,4.453044565
2009,YR2009,POL,3.795392425
2009,YR2009,HUN,4.211711712
2009,YR2009,ROU,5.587420043
2009,YR2009,ALB,2.266922095
2009,YR2009,AUT,0.506308828
2009,YR2009,BGR,2.753202239
2009,YR2009,BIH,-0.381464282
2009,YR2009,CHE,-0.480481936
2009,YR2009,CZE,1.019377353
2009,YR2009,DEU,0.31273763
2009,YR2009,DNK,1.30470991
2009,YR2009,ESP,-0.287813084
2009,YR2009,FIN,-9.17E-07
2009,YR2009,FRA,0.087620478
2009,YR2009,GRC,1.210072692
2009,YR2009,HRV,2.378528459
2009,YR2009,IRL,-4.478103392
2009,YR2009,ISL,12.00312985
2009,YR2009,ITA,0.774768131
2009,YR2009,XKX,-2.410264017
2009,YR2009,LUX,0.368041998
2009,YR2009,MDA,-0.062718597
2009,YR2009,MKD,-0.739633963
2009,YR2009,MLT,2.084327461
2009,YR2009,MNE,3.466723732
2009,YR2009,NLD,1.18977687
2009,YR2009,NOR,2.197385869
2009,YR2009,PRT,-0.835530022
2009,YR2009,SMR,2.19959237
2009,YR2009,SRB,8.116950922
2009,YR2009,SVK,1.615104641
2009,YR2009,SVN,0.839262247
2009,YR2009,SWE,-0.494460544
2010,YR2010,RUS,6.849392303
2010,YR2010,UKR,9.372931051
2010,YR2010,BLR,7.735748043
2010,YR2010,EST,2.97204512
2010,YR2010,LVA,-1.08463595
2010,YR2010,LTU,1.319213621
2010,YR2010,POL,2.580693703
2010,YR2010,HUN,4.855557957
2010,YR2010,ROU,6.091416686
2010,YR2010,ALB,3.626046956
2010,YR2010,AUT,1.81353439
2010,YR2010,BGR,2.438990605
2010,YR2010,BIH,1.996212367
2010,YR2010,CHE,0.688238707
2010,YR2010,CZE,1.472727273
2010,YR2010,DEU,1.103809161
2010,YR2010,DNK,2.31092437
2010,YR2010,ESP,1.799864577
2010,YR2010,FIN,1.184135232
2010,YR2010,FRA,1.531122704
2010,YR2010,GRC,4.712989078
2010,YR2010,HRV,1.030555053
2010,YR2010,IRL,-0.922095829
2010,YR2010,ISL,5.396731132
2010,YR2010,ITA,1.525516021
2010,YR2010,XKX,3.480507637
2010,YR2010,LUX,2.273679116
2010,YR2010,MDA,7.483850864
2010,YR2010,MKD,1.50997522
2010,YR2010,MLT,1.515635136
2010,YR2010,MNE,0.65494657
2010,YR2010,NLD,1.275305696
2010,YR2010,NOR,2.418906395
2010,YR2010,PRT,1.402572899
2010,YR2010,SMR,2.585418156
2010,YR2010,SRB,6.142553602
2010,YR2010,SVK,0.957018133
2010,YR2010,SVN,1.801170221
2010,YR2010,SWE,1.157988027
2011,YR2011,RUS,8.440464859
2011,YR2011,UKR,7.955724663
2011,YR2011,BLR,53.22869831
2011,YR2011,EST,4.981901315
2011,YR2011,LVA,4.370735599
2011,YR2011,LTU,4.130275626
2011,YR2011,POL,4.239401496
2011,YR2011,HUN,3.929920989
2011,YR2011,ROU,5.789253288
2011,YR2011,ALB,3.429123247
2011,YR2011,AUT,3.286579149
2011,YR2011,BGR,4.219903466
2011,YR2011,BIH,3.67125
2011,YR2011,CHE,0.231349208
2011,YR2011,CZE,1.917219136
2011,YR2011,DEU,2.075174525
2011,YR2011,DNK,2.758682261
2011,YR2011,ESP,3.196101888
2011,YR2011,FIN,3.416807543
2011,YR2011,FRA,2.111597952
2011,YR2011,GRC,3.329853234
2011,YR2011,HRV,2.272727273
2011,YR2011,IRL,2.557188832
2011,YR2011,ISL,4.001026643
2011,YR2011,ITA,2.780632729
2011,YR2011,XKX,7.336417713
2011,YR2011,LUX,3.410683411
2011,YR2011,MDA,7.687251034
2011,YR2011,MKD,3.904754221
2011,YR2011,MLT,2.962985282
2011,YR2011,MNE,3.450143112
2011,YR2011,NLD,2.341070178
2011,YR2011,NOR,1.284951588
2011,YR2011,PRT,3.653011004
2011,YR2011,SMR,2.899795843
2011,YR2011,SRB,11.13739763
2011,YR2011,SVK,3.919285991
2011,YR2011,SVN,1.802851719
2011,YR2011,SWE,2.961150738
2012,YR2012,RUS,5.074743008
2012,YR2012,UKR,0.568727972
2012,YR2012,BLR,59.21973602
2012,YR2012,EST,3.933399873
2012,YR2012,LVA,2.257789244
2012,YR2012,LTU,3.089982771
2012,YR2012,POL,3.560371517
2012,YR2012,HUN,5.652145171
2012,YR2012,ROU,3.334922677
2012,YR2012,ALB,2.031592684
2012,YR2012,AUT,2.485675622
2012,YR2012,BGR,2.954568298
2012,YR2012,BIH,2.05267452
2012,YR2012,CHE,-0.692552018
2012,YR2012,CZE,3.287623066
2012,YR2012,DEU,2.008490922
2012,YR2012,DNK,2.397914857
2012,YR2012,ESP,2.446127824
2012,YR2012,FIN,2.808336226
2012,YR2012,FRA,1.954195316
2012,YR2012,GRC,1.501526962
2012,YR2012,HRV,3.412073491
2012,YR2012,IRL,1.696208973
2012,YR2012,ISL,5.185899888
2012,YR2012,ITA,3.041363332
2012,YR2012,XKX,2.476737822
2012,YR2012,LUX,2.662841655
2012,YR2012,MDA,4.546334274
2012,YR2012,MKD,3.316055667
2012,YR2012,MLT,2.375820578
2012,YR2012,MNE,4.14524725
2012,YR2012,NLD,2.455547653
2012,YR2012,NOR,0.696864111
2012,YR2012,PRT,2.773338541
2012,YR2012,SMR,2.827332242
2012,YR2012,SRB,7.330385896
2012,YR2012,SVK,3.606102635
2012,YR2012,SVN,2.59741386
2012,YR2012,SWE,0.888377507
2013,YR2013,RUS,6.753710262
2013,YR2013,UKR,-0.238948626
2013,YR2013,BLR,18.31226104
2013,YR2013,EST,2.78056659
2013,YR2013,LVA,-0.029454778
2013,YR2013,LTU,1.047479371
2013,YR2013,POL,0.991982606
2013,YR2013,HUN,1.73319985
2013,YR2013,ROU,3.984712355
2013,YR2013,ALB,1.937620802
2013,YR2013,AUT,2.000156169
2013,YR2013,BGR,0.890093541
2013,YR2013,BIH,-0.093045684
2013,YR2013,CHE,-0.217323155
2013,YR2013,CZE,1.438297872
2013,YR2013,DEU,1.50472098
2013,YR2013,DNK,0.78907178
2013,YR2013,ESP,1.408581092
2013,YR2013,FIN,1.478286157
2013,YR2013,FRA,0.863715498
2013,YR2013,GRC,-0.921269454
2013,YR2013,HRV,2.216582064
2013,YR2013,IRL,0.508714869
2013,YR2013,ISL,3.872279237
2013,YR2013,ITA,1.219993423
2013,YR2013,XKX,1.767324284
2013,YR2013,LUX,1.734039635
2013,YR2013,MDA,4.597878974
2013,YR2013,MKD,2.785000567
2013,YR2013,MLT,1.180284364
2013,YR2013,MNE,2.205892681
2013,YR2013,NLD,2.506898527
2013,YR2013,NOR,2.120486204
2013,YR2013,PRT,0.274416667
2013,YR2013,SMR,1.604392981
2013,YR2013,SRB,7.694263629
2013,YR2013,SVK,1.40047369
2013,YR2013,SVN,1.769200859
2013,YR2013,SWE,-0.04429297
2014,YR2014,RUS,7.823411839
2014,YR2014,UKR,12.07185629
2014,YR2014,BLR,18.11955435
2014,YR2014,EST,-0.106175147
2014,YR2014,LVA,0.620490637
2014,YR2014,LTU,0.103758009
2014,YR2014,POL,0.053821313
2014,YR2014,HUN,-0.227566271
2014,YR2014,ROU,1.068309877
2014,YR2014,ALB,1.625865044
2014,YR2014,AUT,1.60581183
2014,YR2014,BGR,-1.418183803
2014,YR2014,BIH,-0.897194054
2014,YR2014,CHE,-0.013202539
2014,YR2014,CZE,0.34398859
2014,YR2014,DEU,0.906797949
2014,YR2014,DNK,0.56402054
2014,YR2014,ESP,-0.151114838
2014,YR2014,FIN,1.041196212
2014,YR2014,FRA,0.507758823
2014,YR2014,GRC,-1.312260964
2014,YR2014,HRV,-0.21519616
2014,YR2014,IRL,0.182542317
2014,YR2014,ISL,2.044614815
2014,YR2014,ITA,0.24104743
2014,YR2014,XKX,0.428957808
2014,YR2014,LUX,0.628543985
2014,YR2014,MDA,5.088785546
