,Date,Year 1,economy,Inflation
0,01/01/2000,YR2000,RUS,20.79876066
1,01/01/2000,YR2000,UKR,28.20309724
2,01/01/2000,YR2000,BLR,168.6202359
3,01/01/2000,YR2000,EST,4.018489525
4,01/01/2000,YR2000,LVA,2.654254778
5,01/01/2000,YR2000,LTU,0.981615479
6,01/01/2000,YR2000,POL,9.900175388
7,01/01/2000,YR2000,HUN,9.803610169
8,01/01/2000,YR2000,ROU,45.66659404
9,01/01/2000,YR2000,ALB,0.050018136
10,01/01/2000,YR2000,AUT,2.344862854
11,01/01/2000,YR2000,BGR,10.31626213
12,01/01/2000,YR2000,CHE,1.558529197
13,01/01/2000,YR2000,CZE,3.775388292
14,01/01/2000,YR2000,DEU,1.440268187
15,01/01/2000,YR2000,DNK,2.903282032
16,01/01/2000,YR2000,ESP,3.433515634
17,01/01/2000,YR2000,FIN,3.042100807
18,01/01/2000,YR2000,FRA,1.675959887
19,01/01/2000,YR2000,GRC,3.151181625
20,01/01/2000,YR2000,HRV,4.611315547
21,01/01/2000,YR2000,IRL,5.5907173
22,01/01/2000,YR2000,ISL,5.136471232
23,01/01/2000,YR2000,ITA,2.537685321
24,01/01/2000,YR2000,LUX,3.15076707
25,01/01/2000,YR2000,MDA,31.29930158
26,01/01/2000,YR2000,MKD,6.60742291
27,01/01/2000,YR2000,MLT,2.369592875
28,01/01/2000,YR2000,NLD,2.360522338
29,01/01/2000,YR2000,NOR,3.085506091
30,01/01/2000,YR2000,PRT,2.853030393
31,01/01/2000,YR2000,SRB,71.12062879
32,01/01/2000,YR2000,SVK,12.0357806
33,01/01/2000,YR2000,SVN,8.911744187
34,01/01/2000,YR2000,SWE,0.899143734
35,01/01/2001,YR2001,RUS,21.47700721
36,01/01/2001,YR2001,UKR,11.95880854
37,01/01/2001,YR2001,BLR,61.13493316
38,01/01/2001,YR2001,EST,5.748279817
39,01/01/2001,YR2001,LVA,2.487040036
40,01/01/2001,YR2001,LTU,1.367120308
41,01/01/2001,YR2001,POL,5.408335456
42,01/01/2001,YR2001,HUN,9.116809117
43,01/01/2001,YR2001,ROU,34.47701235
44,01/01/2001,YR2001,ALB,3.10758827
45,01/01/2001,YR2001,AUT,2.650000773
46,01/01/2001,YR2001,BGR,7.360939272
47,01/01/2001,YR2001,CHE,0.98902033
48,01/01/2001,YR2001,CZE,4.66267557
49,01/01/2001,YR2001,DEU,1.983856936
50,01/01/2001,YR2001,DNK,2.337870003
