,Date,economy,Inflation
0,2000-01-01,Russia,20.79876066
1,2000-01-01,Ukraine,28.20309724
2,2000-01-01,Belarus,168.6202359
3,2000-01-01,Estonia,4.018489525
4,2000-01-01,Latvia,2.654254778
5,2000-01-01,Lithuania,0.981615479
6,2000-01-01,Poland,9.900175388
7,2000-01-01,Hungary,9.803610169
8,2000-01-01,Romania,45.66659404
9,2000-01-01,Albania,0.050018136
10,2000-01-01,Austria,2.344862854
11,2000-01-01,Bulgaria,10.31626213
12,2000-01-01,Switzerland,1.558529197
13,2000-01-01,Czech Republic,3.775388292
14,2000-01-01,Germany,1.440268187
15,2000-01-01,Denmark,2.903282032
16,2000-01-01,Spain,3.433515634
17,2000-01-01,Finland,3.042100807
18,2000-01-01,France,1.675959887
19,2000-01-01,Greece,3.151181625
20,2000-01-01,Croatia,4.611315547
21,2000-01-01,Ireland,5.5907173
22,2000-01-01,Iceland,5.136471232
23,2000-01-01,Italy,2.537685321
24,2000-01-01,Luxemburg,3.15076707
25,2000-01-01,Moldova,31.29930158
26,2000-01-01,Macedonia,6.60742291
27,2000-01-01,Malta,2.369592875
28,2000-01-01,Netherlands,2.360522338
29,2000-01-01,Norway,3.085506091
30,2000-01-01,Portugal,2.853030393
31,2000-01-01,Serbia,71.12062879
32,2000-01-01,Slovakia,12.0357806
33,2000-01-01,Slovenia,8.911744187
34,2000-01-01,Sweden,0.899143734
35,2001-01-01,Russia,21.47700721
36,2001-01-01,Ukraine,11.95880854
37,2001-01-01,Belarus,61.13493316
38,2001-01-01,Estonia,5.748279817
39,2001-01-01,Latvia,2.487040036
40,2001-01-01,Lithuania,1.367120308
41,2001-01-01,Poland,5.408335456
42,2001-01-01,Hungary,9.116809117
43,2001-01-01,Romania,34.47701235
44,2001-01-01,Albania,3.10758827
45,2001-01-01,Austria,2.650000773
46,2001-01-01,Bulgaria,7.360939272
47,2001-01-01,Switzerland,0.98902033
48,2001-01-01,Czech Republic,4.66267557
49,2001-01-01,Germany,1.983856936
50,2001-01-01,Denmark,2.337870003
51,2001-01-01,Spain,3.589834133
