,Date,economy,Inflation,Year
1798,2021-01-01,Russia,6.69445892,2021
1799,2021-01-01,Belarus,9.460283896,2021
1800,2021-01-01,Estonia,4.653166738,2021
1801,2021-01-01,Latvia,3.275829374,2021
1802,2021-01-01,Lithuania,4.683544209,2021
1803,2021-01-01,Poland,5.055027047,2021
1804,2021-01-01,Hungary,5.110965344,2021
1805,2021-01-01,Romania,5.052328761,2021
1806,2021-01-01,Albania,2.041471631,2021
1807,2021-01-01,Austria,2.766666667,2021
1808,2021-01-01,Bulgaria,3.297744353,2021
1809,2021-01-01,Bosnia and Herzegovina,1.981639006,2021
1810,2021-01-01,Switzerland,0.581814168,2021
1811,2021-01-01,Czech Republic,3.839844915,2021
1812,2021-01-01,Germany,3.142969673,2021
1813,2021-01-01,Denmark,1.85304544,2021
1814,2021-01-01,Spain,3.09313512,2021
1815,2021-01-01,Finland,2.194574323,2021
1816,2021-01-01,France,1.64233141,2021
1817,2021-01-01,Greece,1.22382501,2021
1818,2021-01-01,Austria.1,2.766666667,2021
1819,2021-01-01,Croatia,2.554506996,2021
1820,2021-01-01,Ireland,2.358142962,2021
1821,2021-01-01,Iceland,4.444239702,2021
1822,2021-01-01,Italy,1.873783258,2021
1823,2021-01-01,Kosovo,3.353691392,2021
1824,2021-01-01,Luxemburg,2.526920091,2021
1825,2021-01-01,England,2.518371096,2021
1826,2021-01-01,Moldova,5.10641129,2021
1827,2021-01-01,Macedonia,3.230749121,2021
1828,2021-01-01,Malta,1.497892179,2021
1829,2021-01-01,Montenegro,2.410801984,2021
1830,2021-01-01,Netherlands,2.675720088,2021
1831,2021-01-01,Norway,3.483880553,2021
1832,2021-01-01,Portugal,1.265657191,2021
1833,2021-01-01,Serbia,4.085102853,2021
1834,2021-01-01,Slovakia,3.149606299,2021
1835,2021-01-01,Slovenia,1.917065061,2021
1836,2021-01-01,Sweden,2.163197364,2021
