Date,northeast_pred,northwest_pred,yorkshireandthehumber_pred,eastmidlands_pred,westmidlands_pred,east_pred,london_pred,southeast_pred,southwest_pred,england_pred
01-Jan-05,90.575432,89.749443,87.688934,86.805939,87.703957,85.637718,75.619049,82.052963,83.75425,81.815918
01-Feb-05,90.653549,89.845299,87.80513,86.948418,87.825676,85.780815,75.805573,82.216667,83.906677,81.971718
01-Mar-05,90.724098,89.931885,87.91008,87.07711,87.935616,85.910065,75.974045,82.364532,84.04435,82.112442
01-Apr-05,90.802208,90.02774,88.026283,87.219589,88.057335,86.053169,76.160568,82.528236,84.196777,82.268242
01-May-05,90.877808,90.120506,88.138733,87.357475,88.175125,86.19165,76.341072,82.686661,84.344292,82.419014
01-Jun-05,90.955917,90.216362,88.254929,87.499954,88.296844,86.334747,76.527596,82.850365,84.496719,82.574814
01-Jul-05,91.031509,90.309128,88.367378,87.63784,88.414642,86.473228,76.708099,83.008797,84.644226,82.725586
01-Aug-05,91.109619,90.404984,88.483582,87.780319,88.536362,86.616325,76.894623,83.172501,84.796654,82.881386
01-Sep-05,91.187729,90.500839,88.599777,87.922798,88.658081,86.75943,77.081146,83.336205,84.949081,83.037186
01-Oct-05,91.263321,90.593605,88.712227,88.060684,88.775871,86.897911,77.26165,83.494629,85.096596,83.187965
01-Nov-05,91.341438,90.689461,88.828423,88.203163,88.897591,87.041008,77.448174,83.65834,85.249023,83.343758
01-Dec-05,91.41703,90.782227,88.94088,88.341049,89.015388,87.179489,77.628677,83.816765,85.39653,83.494537
01-Jan-06,91.49514,90.878082,89.057076,88.483528,89.137108,87.322586,77.815201,83.980469,85.548958,83.650337
01-Feb-06,91.57325,90.973946,89.173271,88.626007,89.258827,87.465691,78.001724,84.144173,85.701385,83.806137
01-Mar-06,91.643806,91.060524,89.278229,88.7547,89.368767,87.59494,78.170197,84.292038,85.839066,83.946854
01-Apr-06,91.721916,91.15638,89.394424,88.897179,89.490486,87.738037,78.356712,84.455742,85.991493,84.102654
01-May-06,91.797508,91.249146,89.506874,89.035065,89.608276,87.876518,78.537224,84.614174,86.139,84.253426
01-Jun-06,91.875618,91.345001,89.62307,89.177544,89.729996,88.019615,78.723747,84.777878,86.291428,84.409225
01-Jul-06,91.951218,91.437767,89.735527,89.31543,89.847794,88.158104,78.904251,84.936302,86.438942,84.560005
01-Aug-06,92.029327,91.533623,89.851723,89.457909,89.969513,88.301201,79.090775,85.100006,86.591362,84.715805
01-Sep-06,92.107437,91.629478,89.967918,89.600388,90.091232,88.444298,79.27729,85.263718,86.74379,84.871605
01-Oct-06,92.183029,91.722244,90.080368,89.738274,90.209023,88.582779,79.457802,85.422142,86.891304,85.022377
01-Nov-06,92.261139,91.8181,90.196571,89.880753,90.330742,88.725883,79.644325,85.585846,87.043732,85.178177
01-Dec-06,92.336731,91.910866,90.309021,90.018639,90.44854,88.864365,79.824829,85.74427,87.191238,85.328949
01-Jan-07,92.414848,92.006729,90.425217,90.161118,90.570259,89.007462,80.011353,85.907974,87.343666,85.484749
01-Feb-07,92.492958,92.102585,90.541412,90.303596,90.691978,89.150558,80.197868,86.071686,87.496094,85.640549
01-Mar-07,92.563515,92.189163,90.64637,90.432289,90.801918,89.279808,80.366341,86.219551,87.633774,85.781265
01-Apr-07,92.641624,92.285019,90.762566,90.574768,90.923637,89.422905,80.552864,86.383255,87.786201,85.937065
01-May-07,92.717216,92.377785,90.875015,90.712654,91.041428,89.561394,80.733368,86.541679,87.933708,86.087845
01-Jun-07,92.795326,92.47364,90.991219,90.855133,91.163147,89.704491,80.919891,86.705383,88.086136,86.243645
01-Jul-07,92.870918,92.566406,91.103668,90.993011,91.280945,89.842972,81.100403,86.863808,88.23365,86.394417
01-Aug-07,92.949028,92.662262,91.219864,91.135498,91.402664,89.986069,81.286919,87.027519,88.386078,86.550217
01-Sep-07,93.027145,92.758125,91.336067,91.277977,91.524384,90.129173,81.473442,87.191223,88.538506,86.706017
01-Oct-07,93.102737,92.850883,91.448517,91.415855,91.642174,90.267654,81.653946,87.349648,88.686012,86.856789
01-Nov-07,93.180847,92.946747,91.564713,91.558342,91.763893,90.410751,81.840469,87.513359,88.83844,87.012589
