,Date,type,value,area
0,01-Jan-05,northeast_pred,90.575432,Northeast
1,01-Jan-05,northwest_pred,89.749443,Northwest
2,01-Jan-05,yorkshireandthehumber_pred,87.688934,Yorkshire
3,01-Jan-05,eastmidlands_pred,86.805939,Eastmidlands
4,01-Jan-05,westmidlands_pred,87.703957,Westmidlands
5,01-Jan-05,east_pred,85.637718,East
6,01-Jan-05,london_pred,75.619049,London
7,01-Jan-05,southeast_pred,82.052963,Southeast
8,01-Jan-05,southwest_pred,83.75425,Southwest
9,01-Jan-05,england_pred,81.815918,England
10,01-Feb-05,northeast_pred,90.653549,Northeast
11,01-Feb-05,northwest_pred,89.845299,Northwest
12,01-Feb-05,yorkshireandthehumber_pred,87.80513,Yorkshire
13,01-Feb-05,eastmidlands_pred,86.948418,Eastmidlands
14,01-Feb-05,westmidlands_pred,87.825676,Westmidlands
15,01-Feb-05,east_pred,85.780815,East
16,01-Feb-05,london_pred,75.805573,London
17,01-Feb-05,southeast_pred,82.216667,Southeast
18,01-Feb-05,southwest_pred,83.906677,Southwest
19,01-Feb-05,england_pred,81.971718,England
20,01-Mar-05,northeast_pred,90.724098,Northeast
21,01-Mar-05,northwest_pred,89.931885,Northwest
22,01-Mar-05,yorkshireandthehumber_pred,87.91008,Yorkshire
23,01-Mar-05,eastmidlands_pred,87.07711,Eastmidlands
24,01-Mar-05,westmidlands_pred,87.935616,Westmidlands
25,01-Mar-05,east_pred,85.910065,East
26,01-Mar-05,london_pred,75.974045,London
27,01-Mar-05,southeast_pred,82.364532,Southeast
28,01-Mar-05,southwest_pred,84.04435,Southwest
29,01-Mar-05,england_pred,82.112442,England
30,01-Apr-05,northeast_pred,90.802208,Northeast
31,01-Apr-05,northwest_pred,90.02774,Northwest
32,01-Apr-05,yorkshireandthehumber_pred,88.026283,Yorkshire
33,01-Apr-05,eastmidlands_pred,87.219589,Eastmidlands
34,01-Apr-05,westmidlands_pred,88.057335,Westmidlands
35,01-Apr-05,east_pred,86.053169,East
36,01-Apr-05,london_pred,76.160568,London
37,01-Apr-05,southeast_pred,82.528236,Southeast
38,01-Apr-05,southwest_pred,84.196777,Southwest
39,01-Apr-05,england_pred,82.268242,England
40,01-May-05,northeast_pred,90.877808,Northeast
41,01-May-05,northwest_pred,90.120506,Northwest
42,01-May-05,yorkshireandthehumber_pred,88.138733,Yorkshire
43,01-May-05,eastmidlands_pred,87.357475,Eastmidlands
44,01-May-05,westmidlands_pred,88.175125,Westmidlands
45,01-May-05,east_pred,86.19165,East
46,01-May-05,london_pred,76.341072,London
47,01-May-05,southeast_pred,82.686661,Southeast
48,01-May-05,southwest_pred,84.344292,Southwest
49,01-May-05,england_pred,82.419014,England
50,01-Jun-05,northeast_pred,90.955917,Northeast
51,01-Jun-05,northwest_pred,90.216362,Northwest
52,01-Jun-05,yorkshireandthehumber_pred,88.254929,Yorkshire
53,01-Jun-05,eastmidlands_pred,87.499954,Eastmidlands
54,01-Jun-05,westmidlands_pred,88.296844,Westmidlands
55,01-Jun-05,east_pred,86.334747,East
56,01-Jun-05,london_pred,76.527596,London
57,01-Jun-05,southeast_pred,82.850365,Southeast
58,01-Jun-05,southwest_pred,84.496719,Southwest
59,01-Jun-05,england_pred,82.574814,England
60,01-Jul-05,northeast_pred,91.031509,Northeast
61,01-Jul-05,northwest_pred,90.309128,Northwest
62,01-Jul-05,yorkshireandthehumber_pred,88.367378,Yorkshire
63,01-Jul-05,eastmidlands_pred,87.63784,Eastmidlands
64,01-Jul-05,westmidlands_pred,88.414642,Westmidlands
65,01-Jul-05,east_pred,86.473228,East
66,01-Jul-05,london_pred,76.708099,London
67,01-Jul-05,southeast_pred,83.008797,Southeast
68,01-Jul-05,southwest_pred,84.644226,Southwest
69,01-Jul-05,england_pred,82.725586,England
70,01-Aug-05,northeast_pred,91.109619,Northeast
71,01-Aug-05,northwest_pred,90.404984,Northwest
72,01-Aug-05,yorkshireandthehumber_pred,88.483582,Yorkshire
73,01-Aug-05,eastmidlands_pred,87.780319,Eastmidlands
74,01-Aug-05,westmidlands_pred,88.536362,Westmidlands
75,01-Aug-05,east_pred,86.616325,East
76,01-Aug-05,london_pred,76.894623,London
77,01-Aug-05,southeast_pred,83.172501,Southeast
78,01-Aug-05,southwest_pred,84.796654,Southwest
79,01-Aug-05,england_pred,82.881386,England
80,01-Sep-05,northeast_pred,91.187729,Northeast
