v1,datestring,v3,england,v5,northeast,northwest,yorkshireandthehumber,eastmidlands,westmidlands,east,london,southeast,southwest,v15,englandexcludinglondon,v17,Date,northeast_pred,northeast_error,northwest_pred,northwest_error,yorkshireandthehumber_pred,yorkshireandthehumber_error,eastmidlands_pred,eastmidlands_error,westmidlands_pred,westmidlands_error,east_pred,east_error,london_pred,london_error,southeast_pred,southeast_error,southwest_pred,southwest_error,england_pred,england_error
2005,01/01/2005,Jan,81.5,,86.099998,88.599998,84.900002,88,87.599998,85.400002,75.5,82.900002,82.900002,,85.099998,,01-Jan-05,90.575432,-4.4754333,89.749443,-1.1494446,87.688934,-2.7889328,86.805939,1.1940613,87.703957,-0.10395813,85.637718,-0.23771667,75.619049,-0.11904907,82.052963,0.84703827,83.75425,-0.85424805,81.815918,-0.31591797
2005,02/01/2005,Feb,81.599998,,86.400002,88.599998,85.300003,88.400002,87.699997,85.5,75.5,82.900002,83.400002,,85.300003,,01-Feb-05,90.653549,-4.2535477,89.845299,-1.2453003,87.80513,-2.505127,86.948418,1.4515839,87.825676,-0.12567902,85.780815,-0.28081512,75.805573,-0.30557251,82.216667,0.68333435,83.906677,-0.50667572,81.971718,-0.37171936
2005,03/01/2005,Mar,81.699997,,86.5,88.599998,85.400002,88.400002,87.900002,85.400002,75.5,83,83.5,,85.300003,,01-Mar-05,90.724098,-4.2240982,89.931885,-1.3318863,87.91008,-2.5100784,87.07711,1.3228912,87.935616,-0.035614014,85.910065,-0.51006317,75.974045,-0.4740448,82.364532,0.63546753,84.04435,-0.54434967,82.112442,-0.41244507
2005,04/01/2005,Apr,81.800003,,87,88.599998,85.599998,88.800003,88.099998,85.699997,75.599998,83.099998,83.699997,,85.5,,01-Apr-05,90.802208,-3.8022079,90.02774,-1.427742,88.026283,-2.4262848,87.219589,1.5804138,88.057335,0.042663574,86.053169,-0.3531723,76.160568,-0.56056976,82.528236,0.57176208,84.196777,-0.4967804,82.268242,-0.46823883
2005,05/01/2005,May,82,,87.199997,88.699997,85.699997,89.300003,88.300003,86,75.599998,83.400002,84,,85.800003,,01-May-05,90.877808,-3.6778107,90.120506,-1.4205093,88.138733,-2.438736,87.357475,1.9425278,88.175125,0.12487793,86.19165,-0.19165039,76.341072,-0.74107361,82.686661,0.71334076,84.344292,-0.34429169,82.419014,-0.41901398
2005,06/01/2005,Jun,82.099998,,87.400002,89,86,89.400002,88.400002,86.300003,75.599998,83.5,84.300003,,86,,01-Jun-05,90.955917,-3.5559158,90.216362,-1.216362,88.254929,-2.2549286,87.499954,1.9000473,88.296844,0.10315704,86.334747,-0.034744263,76.527596,-0.92759705,82.850365,0.64963531,84.496719,-0.19671631,82.574814,-0.47481537
2005,07/01/2005,Jul,82.300003,,87.5,89.099998,86.199997,89.599998,88.599998,86.900002,75.699997,83.699997,84.5,,86.199997,,01-Jul-05,91.031509,-3.5315094,90.309128,-1.2091293,88.367378,-2.1673813,87.63784,1.9621582,88.414642,0.18535614,86.473228,0.42677307,76.708099,-1.0081024,83.008797,0.69120026,84.644226,-0.14422607,82.725586,-0.42558289
2005,08/01/2005,Aug,82.5,,87.599998,89.199997,86.400002,89.699997,88.900002,87.199997,76,83.800003,84.800003,,86.400002,,01-Aug-05,91.109619,-3.5096207,90.404984,-1.2049866,88.483582,-2.08358,87.780319,1.9196777,88.536362,0.36363983,86.616325,0.58367157,76.894623,-0.8946228,83.172501,0.62750244,84.796654,0.003349304,82.881386,-0.3813858
2005,09/01/2005,Sep,82.699997,,87.900002,89.400002,86.699997,89.800003,89.099998,87.400002,76.199997,84,85.099998,,86.599998,,01-Sep-05,91.187729,-3.2877274,90.500839,-1.1008377,88.599777,-1.8997803,87.922798,1.8772049,88.658081,0.44191742,86.75943,0.64057159,77.081146,-0.88114929,83.336205,0.66379547,84.949081,0.15091705,83.037186,-0.33718872
2005,10/01/2005,Oct,82.800003,,88.099998,89.5,87,90.099998,89.199997,87.699997,76.199997,84.099998,85.199997,,86.800003,,01-Oct-05,91.263321,-3.1633224,90.593605,-1.093605,88.712227,-1.7122269,88.060684,2.0393143,88.775871,0.42412567,86.897911,0.80208588,77.26165,-1.0616531,83.494629,0.60536957,85.096596,0.10340118,83.187965,-0.38796234
2005,11/01/2005,Nov,83,,88.300003,89.699997,87,90.199997,89.400002,87.800003,76.300003,84.199997,85.5,,86.900002,,01-Nov-05,91.341438,-3.0414352,90.689461,-0.98946381,88.828423,-1.8284225,88.203163,1.9968338,88.897591,0.50241089,87.041008,0.75899506,77.448174,-1.1481705,83.65834,0.54165649,85.249023,0.25097656,83.343758,-0.34375763
2005,12/01/2005,Dec,83.199997,,88.699997,90,87.300003,90.300003,89.900002,88.199997,76.5,84.5,85.800003,,87.300003,,01-Dec-05,91.41703,-2.7170334,90.782227,-0.78222656,88.94088,-1.6408768,88.341049,1.9589539,89.015388,0.88461304,87.179489,1.0205078,77.628677,-1.1286774,83.816765,0.68323517,85.39653,0.4034729,83.494537,-0.29454041
2006,01/01/2006,Jan,83.5,,89,90.300003,87.699997,90.800003,90.199997,88.5,76.800003,84.699997,86,,87.5,,01-Jan-06,91.49514,-2.4951401,90.878082,-0.57807922,89.057076,-1.3570786,88.483528,2.3164749,89.137108,1.0628891,87.322586,1.1774139,77.815201,-1.0151978,83.980469,0.7195282,85.548958,0.45104218,83.650337,-0.15033722
2006,02/01/2006,Feb,83.699997,,89.099998,90.400002,87.900002,90.800003,90.199997,88.599998,77,84.800003,86.099998,,87.599998,,01-Feb-06,91.57325,-2.4732513,90.973946,-0.57394409,89.173271,-1.2732697,88.626007,2.173996,89.258827,0.94116974,87.465691,1.1343079,78.001724,-1.0017242,84.144173,0.65583038,85.701385,0.39861298,83.806137,-0.10614014
2006,03/01/2006,Mar,83.800003,,89.400002,90.5,88.199997,90.900002,90.300003,88.800003,77.099998,84.900002,86.300003,,87.800003,,01-Mar-06,91.643806,-2.2438049,91.060524,-0.56052399,89.278229,-1.0782318,88.7547,2.1453018,89.368767,0.93123627,87.59494,1.2050629,78.170197,-1.0701981,84.292038,0.60796356,85.839066,0.4609375,83.946854,-0.14685059
2006,04/01/2006,Apr,84,,89.400002,90.599998,88.199997,91.099998,90.5,88.900002,77.300003,85.199997,86.400002,,88,,01-Apr-06,91.721916,-2.3219147,91.15638,-0.55638123,89.394424,-1.1944275,88.897179,2.2028198,89.490486,1.0095139,87.738037,1.1619644,78.356712,-1.0567093,84.455742,0.74425507,85.991493,0.4085083,84.102654,-0.1026535
2006,05/01/2006,May,84.099998,,89.699997,90.699997,88.5,91.300003,90.599998,89.099998,77.400002,85.400002,86.400002,,88.099998,,01-May-06,91.797508,-2.0975113,91.249146,-0.54914856,89.506874,-1.0068741,89.035065,2.2649384,89.608276,0.99172211,87.876518,1.2234802,78.537224,-1.1372223,84.614174,0.78582764,86.139,0.26100159,84.253426,-0.15342712
