,Date,type,value,area
0,01-Jan-05,england,81.5,England
1,01-Jan-05,northeast,86.099998,Northeast
2,01-Jan-05,northwest,88.599998,Northwest
3,01-Jan-05,yorkshireandthehumber,84.900002,Yorkshire
4,01-Jan-05,eastmidlands,88.0,Eastmidlands
5,01-Jan-05,westmidlands,87.599998,Westmidlands
6,01-Jan-05,east,85.400002,East
7,01-Jan-05,london,75.5,London
8,01-Jan-05,southeast,82.900002,Southeast
9,01-Jan-05,southwest,82.900002,Southwest
10,01-Jan-05,northeast_pred,90.575432,Northeast
11,01-Jan-05,northeast_error,-4.4754333,Northeast
12,01-Jan-05,northwest_pred,89.749443,Northwest
13,01-Jan-05,northwest_error,-1.1494446,Northwest
14,01-Jan-05,yorkshireandthehumber_pred,87.688934,Yorkshire
15,01-Jan-05,yorkshireandthehumber_error,-2.7889328,Yorkshire
16,01-Jan-05,eastmidlands_pred,86.805939,Eastmidlands
17,01-Jan-05,eastmidlands_error,1.1940613,Eastmidlands
18,01-Jan-05,westmidlands_pred,87.703957,Westmidlands
19,01-Jan-05,westmidlands_error,-0.10395813,Westmidlands
20,01-Jan-05,east_pred,85.637718,East
21,01-Jan-05,east_error,-0.23771667,East
22,01-Jan-05,london_pred,75.619049,London
23,01-Jan-05,london_error,-0.11904907,London
24,01-Jan-05,southeast_pred,82.052963,Southeast
25,01-Jan-05,southeast_error,0.84703827,Southeast
26,01-Jan-05,southwest_pred,83.75425,Southwest
27,01-Jan-05,southwest_error,-0.85424805,Southwest
28,01-Jan-05,england_pred,81.815918,England
29,01-Jan-05,england_error,-0.31591797,England
30,01-Feb-05,england,81.599998,England
31,01-Feb-05,northeast,86.400002,Northeast
32,01-Feb-05,northwest,88.599998,Northwest
33,01-Feb-05,yorkshireandthehumber,85.300003,Yorkshire
34,01-Feb-05,eastmidlands,88.400002,Eastmidlands
35,01-Feb-05,westmidlands,87.699997,Westmidlands
36,01-Feb-05,east,85.5,East
37,01-Feb-05,london,75.5,London
38,01-Feb-05,southeast,82.900002,Southeast
39,01-Feb-05,southwest,83.400002,Southwest
