,Upper Tier Local Authorities Code,Upper Tier Local Authorities,Observation,Latitude,Longitude
6,E06000001,Hartlepool,6338,54.68,-1.22
15,E06000002,Middlesbrough,11286,54.57,-1.24
24,E06000003,Redcar and Cleveland,8410,54.58,-1.03
33,E06000004,Stockton-on-Tees,12388,54.57,-1.31
42,E06000005,Borough of Darlington,9035,54.55,-1.55
51,E06000006,Borough of Halton,7088,53.34,-2.71
60,E06000007,Warrington,12193,53.39,-2.60
69,E06000008,Blackburn with Darwen,10290,53.69,-2.47
78,E06000009,Blackpool,18843,53.82,-3.05
87,E06000010,Kingston upon Hull,25419,53.74,-0.33
96,E06000011,East Riding of Yorkshire,22171,53.70,-0.88
105,E06000012,North East Lincolnshire,14185,53.55,-0.10
114,E06000013,North Lincolnshire,10929,53.60,-0.58
123,E06000014,York,15209,53.96,-1.08
132,E06000015,Derby,20395,52.92,-1.48
141,E06000016,Leicester,34549,52.63,-1.13
150,E06000017,Rutland,2082,52.66,-0.64
159,E06000018,Nottingham,33039,52.95,-1.13
168,E06000019,Herefordshire,12943,52.08,-2.75
177,E06000020,Telford and Wrekin,14694,52.73,-2.49
186,E06000021,Stoke-on-Trent,20065,53.02,-2.16
195,E06000022,Bath and North East Somerset,13758,51.39,-2.32
204,E06000023,Bristol,46271,51.45,-2.59
213,E06000024,North Somerset,15541,51.40,-2.82
222,E06000025,South Gloucestershire,16441,51.55,-2.47
231,E06000026,Plymouth,22754,50.37,-4.14
240,E06000027,Torbay,15195,50.44,-3.58
249,E06000030,Swindon,16798,51.56,-1.78
258,E06000031,Peterborough,18675,52.57,-0.25
267,E06000032,Luton,21280,51.88,-0.42
276,E06000033,Southend-on-Sea,19085,51.54,0.71
285,E06000034,Thurrock,11015,51.50,0.42
294,E06000035,Medway,20219,51.39,0.54
303,E06000036,Bracknell Forest,6957,51.42,-0.75
312,E06000037,West Berkshire,9668,51.40,-1.32
321,E06000038,Reading,20373,51.45,-0.97
330,E06000039,Slough,15101,51.51,-0.59
339,E06000040,Royal Borough of Windsor and Maidenhead,10635,51.49,-0.70
348,E06000041,Wokingham,8665,51.41,-0.83
357,E06000042,Milton Keynes,21780,52.04,-0.76
366,E06000043,Brighton and Hove,37167,50.82,-0.14
375,E06000044,Portsmouth,22196,50.82,-1.08
384,E06000045,Southampton,28063,50.90,-1.40
393,E06000046,Isle of Wight,11731,50.70,-1.29
402,E06000047,County Durham,35156,54.78,-1.57
411,E06000049,Cheshire East,23868,53.15,-2.37
420,E06000050,Cheshire West and Chester,21291,53.21,-2.90
429,E06000051,Shropshire,20425,52.62,-2.72
438,E06000052,Cornwall,41545,50.50,-4.65
447,E06000053,Isles of Scilly,224,49.92,-6.34
456,E06000054,Wiltshire,27674,51.33,-1.92
465,E06000055,Bedford,12905,52.13,-0.47
474,E06000056,Central Bedfordshire,14329,52.03,-0.49
483,E06000057,Northumberland,20149,55.24,-2.07
492,E06000058,"Bournemouth, Christchurch and Poole",40460,50.72,-1.88
501,E06000059,Dorset,22778,50.71,-2.44
510,E06000060,Buckinghamshire,29769,51.83,-0.83
519,E06000061,North Northamptonshire,24645,52.24,-0.90
528,E06000062,West Northamptonshire,29463,52.24,-0.90
537,E08000001,Bolton,18776,53.58,-2.43
546,E08000002,Bury,12628,53.59,-2.30
555,E08000003,Manchester,65041,53.48,-2.23
564,E08000004,Metropolitan Borough of Oldham,14253,53.53,-2.12
573,E08000005,Rochdale,14535,53.61,-2.16
582,E08000006,Salford,28651,53.48,-2.29
591,E08000007,Stockport,16238,53.41,-2.15
600,E08000008,Tameside,15489,53.49,-2.09
609,E08000009,Trafford,13254,53.42,-2.32
618,E08000010,Wigan,20040,53.55,-2.63
627,E08000011,Knowsley,8366,53.45,-2.85
636,E08000012,Liverpool,49950,53.40,-3.00
645,E08000013,St. Helens,10785,53.45,-2.73
654,E08000014,Sefton,20029,53.50,-3.04
663,E08000015,Wirral-Enniskillen,24397,45.52,-66.50
672,E08000016,Barnsley,16296,53.55,-1.48
681,E08000017,Doncaster,22953,53.52,-1.13
690,E08000018,Rotherham,14651,53.43,-1.36
699,E08000019,Sheffield,38976,53.38,-1.47
708,E08000021,Newcastle upon Tyne,25300,54.97,-1.60
717,E08000022,North Tyneside,12755,55.04,-1.45
726,E08000023,South Tyneside,7742,54.96,-1.44
735,E08000024,Sunderland,15827,54.91,-1.38
